variant,tier,metric,n,mean,std,iqm,ci_low,ci_high
imappo_full,hard,collision_rate,1,0.003,0.0,0.003,0.003,0.003
imappo_full,hard,task_completion,1,0.6083916430249809,0.0,0.6083916430249809,0.6083916430249809,0.6083916430249809
imappo_full,hard,episode_return,1,-16.460407680645584,0.0,-16.460407680645584,-16.460407680645584,-16.460407680645584
no_mask,hard,collision_rate,1,0.004,0.0,0.004,0.004,0.004
no_mask,hard,task_completion,1,0.672850849814713,0.0,0.672850849814713,0.672850849814713,0.672850849814713
no_mask,hard,episode_return,1,-23.97561185248196,0.0,-23.97561185248196,-23.97561185248196,-23.97561185248196
no_attention,hard,collision_rate,1,0.003,0.0,0.003,0.003,0.003
no_attention,hard,task_completion,1,0.6084403976127505,0.0,0.6084403976127505,0.6084403976127505,0.6084403976127505
no_attention,hard,episode_return,1,-16.45852440968156,0.0,-16.45852440968156,-16.45852440968156,-16.45852440968156
no_intent_reward,hard,collision_rate,1,0.003,0.0,0.003,0.003,0.003
no_intent_reward,hard,task_completion,1,0.6084091017395257,0.0,0.6084091017395257,0.6084091017395257,0.6084091017395257
no_intent_reward,hard,episode_return,1,-16.45999083817005,0.0,-16.45999083817005,-16.45999083817005,-16.45999083817005
no_cbf,hard,collision_rate,1,0.018000000000000002,0.0,0.018000000000000002,0.018000000000000002,0.018000000000000002
no_cbf,hard,task_completion,1,0.608573835901916,0.0,0.608573835901916,0.608573835901916,0.608573835901916
no_cbf,hard,episode_return,1,-16.388654202595355,0.0,-16.388654202595355,-16.388654202595355,-16.388654202595355
no_nli_gate,hard,collision_rate,1,0.003,0.0,0.003,0.003,0.003
no_nli_gate,hard,task_completion,1,0.6091916420310736,0.0,0.6091916420310736,0.6091916420310736,0.6091916420310736
no_nli_gate,hard,episode_return,1,-16.469917465373875,0.0,-16.469917465373875,-16.469917465373875,-16.469917465373875
prior_only,hard,collision_rate,1,0.003,0.0,0.003,0.003,0.003
prior_only,hard,task_completion,1,0.6085445926710964,0.0,0.6085445926710964,0.6085445926710964,0.6085445926710964
prior_only,hard,episode_return,1,-16.438128490000963,0.0,-16.438128490000963,-16.438128490000963,-16.438128490000963
no_profile_prior,hard,collision_rate,1,0.007000000000000001,0.0,0.007000000000000001,0.007000000000000001,0.007000000000000001
no_profile_prior,hard,task_completion,1,0.6178553480133415,0.0,0.6178553480133415,0.6178553480133415,0.6178553480133415
no_profile_prior,hard,episode_return,1,-18.24026837423444,0.0,-18.24026837423444,-18.24026837423444,-18.24026837423444
identity_oracle,hard,collision_rate,1,0.007000000000000001,0.0,0.007000000000000001,0.007000000000000001,0.007000000000000001
identity_oracle,hard,task_completion,1,0.6178272212222218,0.0,0.6178272212222218,0.6178272212222218,0.6178272212222218
identity_oracle,hard,episode_return,1,-18.234264271706344,0.0,-18.234264271706344,-18.234264271706344,-18.234264271706344
no_intent,hard,collision_rate,1,0.007000000000000001,0.0,0.007000000000000001,0.007000000000000001,0.007000000000000001
no_intent,hard,task_completion,1,0.6177821819484234,0.0,0.6177821819484234,0.6177821819484234,0.6177821819484234
no_intent,hard,episode_return,1,-18.23615050204098,0.0,-18.23615050204098,-18.23615050204098,-18.23615050204098
