reference,variant,factor,changed_fields,tier,metric,direction,mean_difference,ci_low,ci_high,effect_dz,exact_p,holm_p,holm_reject_0_05
imappo_full,no_mask,action_mask,use_action_mask,hard,collision_rate,variant_minus_reference,0.001,0.001,0.001,0.0,1.0,1.0,False
imappo_full,no_mask,action_mask,use_action_mask,hard,task_completion,variant_minus_reference,0.06445920678973205,0.06445920678973205,0.06445920678973205,0.0,1.0,1.0,False
imappo_full,no_attention,attention_critic,critic_mode,hard,collision_rate,variant_minus_reference,0.0,0.0,0.0,0.0,1.0,1.0,False
imappo_full,no_attention,attention_critic,critic_mode,hard,task_completion,variant_minus_reference,4.875458776953945e-05,4.875458776953945e-05,4.875458776953945e-05,0.0,1.0,1.0,False
imappo_full,no_intent_reward,intent_potential_shaping,disable_intent_reward,hard,collision_rate,variant_minus_reference,0.0,0.0,0.0,0.0,1.0,1.0,False
imappo_full,no_intent_reward,intent_potential_shaping,disable_intent_reward,hard,task_completion,variant_minus_reference,1.7458714544726917e-05,1.7458714544726917e-05,1.7458714544726917e-05,0.0,1.0,1.0,False
imappo_full,no_cbf,cbf_safety_filter,safety_filter_mode,hard,collision_rate,variant_minus_reference,0.015000000000000003,0.015000000000000003,0.015000000000000003,0.0,1.0,1.0,False
imappo_full,no_cbf,cbf_safety_filter,safety_filter_mode,hard,task_completion,variant_minus_reference,0.00018219287693510555,0.00018219287693510555,0.00018219287693510555,0.0,1.0,1.0,False
imappo_full,no_nli_gate,nli_prototype_gate,intent_profile_decoder,hard,collision_rate,variant_minus_reference,0.0,0.0,0.0,0.0,1.0,1.0,False
imappo_full,no_nli_gate,nli_prototype_gate,intent_profile_decoder,hard,task_completion,variant_minus_reference,0.0007999990060926221,0.0007999990060926221,0.0007999990060926221,0.0,1.0,1.0,False
imappo_full,prior_only,learned_residual,residual_action_scale,hard,collision_rate,variant_minus_reference,0.0,0.0,0.0,0.0,1.0,1.0,False
imappo_full,prior_only,learned_residual,residual_action_scale,hard,task_completion,variant_minus_reference,0.00015294964611545225,0.00015294964611545225,0.00015294964611545225,0.0,1.0,1.0,False
imappo_full,no_profile_prior,semantic_rule_prior,rule_prior_context,hard,collision_rate,variant_minus_reference,0.004000000000000001,0.004000000000000001,0.004000000000000001,0.0,1.0,1.0,False
imappo_full,no_profile_prior,semantic_rule_prior,rule_prior_context,hard,task_completion,variant_minus_reference,0.009463704988360577,0.009463704988360577,0.009463704988360577,0.0,1.0,1.0,False
no_profile_prior,identity_oracle,semantic_representation,intent_profile_decoder;intent_source,hard,collision_rate,variant_minus_reference,0.0,0.0,0.0,0.0,1.0,1.0,False
no_profile_prior,identity_oracle,semantic_representation,intent_profile_decoder;intent_source,hard,task_completion,variant_minus_reference,-2.8126791119742478e-05,-2.8126791119742478e-05,-2.8126791119742478e-05,0.0,1.0,1.0,False
identity_oracle,no_intent,intent_channel,disable_intent_reward;intent_source,hard,collision_rate,variant_minus_reference,0.0,0.0,0.0,0.0,1.0,1.0,False
identity_oracle,no_intent,intent_channel,disable_intent_reward;intent_source,hard,task_completion,variant_minus_reference,-4.503927379839734e-05,-4.503927379839734e-05,-4.503927379839734e-05,0.0,1.0,1.0,False
