variant,seed,wall_time_seconds,cuda_peak_allocated_mb,text_model_cache_entries,actor_trainable_parameters,critic_trainable_parameters,potential_trainable_parameters
imappo_full,7,86.86303289979696,804.44384765625,2,124550,261633,58688
no_mask,7,52.80154599994421,812.16796875,2,124550,261633,58688
no_attention,7,53.27307320013642,812.16796875,2,124550,261633,58688
no_intent_reward,7,49.60308170039207,812.16796875,2,124550,261633,58688
no_cbf,7,50.89705819962546,812.16796875,2,124550,261633,58688
no_nli_gate,7,54.19552269997075,812.16796875,2,124550,261633,58688
prior_only,7,54.82535749999806,812.16796875,2,124550,261633,58688
no_profile_prior,7,50.06611189991236,812.16796875,2,124550,261633,58688
identity_oracle,7,48.19829070009291,660.35107421875,2,124550,261633,58688
no_intent,7,44.89025510009378,660.34765625,2,124550,261633,58688
