variant,tier,metric,n,mean,std,iqm,ci_low,ci_high
imappo_full,hard,collision_rate,1,0.0,0.0,0.0,0.0,0.0
imappo_full,hard,task_completion,1,0.6949311445156733,0.0,0.6949311445156733,0.6949311445156733,0.6949311445156733
imappo_full,hard,episode_return,1,-13.706429613133272,0.0,-13.706429613133272,-13.706429613133272,-13.706429613133272
no_mask,hard,collision_rate,1,0.0,0.0,0.0,0.0,0.0
no_mask,hard,task_completion,1,0.7467892529567082,0.0,0.7467892529567082,0.7467892529567082,0.7467892529567082
no_mask,hard,episode_return,1,-25.41976184149583,0.0,-25.41976184149583,-25.41976184149583,-25.41976184149583
no_attention,hard,collision_rate,1,0.0,0.0,0.0,0.0,0.0
no_attention,hard,task_completion,1,0.6949540364742278,0.0,0.6949540364742278,0.6949540364742278,0.6949540364742278
no_attention,hard,episode_return,1,-13.706731473406156,0.0,-13.706731473406156,-13.706731473406156,-13.706731473406156
no_intent_reward,hard,collision_rate,1,0.0,0.0,0.0,0.0,0.0
no_intent_reward,hard,task_completion,1,0.6949347905317942,0.0,0.6949347905317942,0.6949347905317942,0.6949347905317942
no_intent_reward,hard,episode_return,1,-13.711063978572687,0.0,-13.711063978572687,-13.711063978572687,-13.711063978572687
no_cbf,hard,collision_rate,1,0.013333333333333334,0.0,0.013333333333333334,0.013333333333333334,0.013333333333333334
no_cbf,hard,task_completion,1,0.6955485066274801,0.0,0.6955485066274801,0.6955485066274801,0.6955485066274801
no_cbf,hard,episode_return,1,-15.61367292702198,0.0,-15.61367292702198,-15.61367292702198,-15.61367292702198
no_nli_gate,hard,collision_rate,1,0.0,0.0,0.0,0.0,0.0
no_nli_gate,hard,task_completion,1,0.6903598488370578,0.0,0.6903598488370578,0.6903598488370578,0.6903598488370578
no_nli_gate,hard,episode_return,1,-12.767319803436598,0.0,-12.767319803436598,-12.767319803436598,-12.767319803436598
prior_only,hard,collision_rate,1,0.0,0.0,0.0,0.0,0.0
prior_only,hard,task_completion,1,0.6949096164107322,0.0,0.6949096164107322,0.6949096164107322,0.6949096164107322
prior_only,hard,episode_return,1,-13.831416594485441,0.0,-13.831416594485441,-13.831416594485441,-13.831416594485441
no_profile_prior,hard,collision_rate,1,0.0,0.0,0.0,0.0,0.0
no_profile_prior,hard,task_completion,1,0.7065462790926298,0.0,0.7065462790926298,0.7065462790926298,0.7065462790926298
no_profile_prior,hard,episode_return,1,-16.84937906761964,0.0,-16.84937906761964,-16.84937906761964,-16.84937906761964
identity_oracle,hard,collision_rate,1,0.0,0.0,0.0,0.0,0.0
identity_oracle,hard,task_completion,1,0.706568986127774,0.0,0.706568986127774,0.706568986127774,0.706568986127774
identity_oracle,hard,episode_return,1,-16.845226551095646,0.0,-16.845226551095646,-16.845226551095646,-16.845226551095646
no_intent,hard,collision_rate,1,0.0,0.0,0.0,0.0,0.0
no_intent,hard,task_completion,1,0.7065683589875699,0.0,0.7065683589875699,0.7065683589875699,0.7065683589875699
no_intent,hard,episode_return,1,-16.846280003587406,0.0,-16.846280003587406,-16.846280003587406,-16.846280003587406
