reference,variant,factor,changed_fields,tier,metric,direction,mean_difference,ci_low,ci_high,effect_dz,exact_p,holm_p,holm_reject_0_05
imappo_full,no_mask,action_mask,use_action_mask,hard,collision_rate,variant_minus_reference,0.0,0.0,0.0,0.0,1.0,1.0,False
imappo_full,no_mask,action_mask,use_action_mask,hard,task_completion,variant_minus_reference,0.05185810844103489,0.05185810844103489,0.05185810844103489,0.0,1.0,1.0,False
imappo_full,no_attention,attention_critic,critic_mode,hard,collision_rate,variant_minus_reference,0.0,0.0,0.0,0.0,1.0,1.0,False
imappo_full,no_attention,attention_critic,critic_mode,hard,task_completion,variant_minus_reference,2.2891958554538405e-05,2.2891958554538405e-05,2.2891958554538405e-05,0.0,1.0,1.0,False
imappo_full,no_intent_reward,intent_potential_shaping,disable_intent_reward,hard,collision_rate,variant_minus_reference,0.0,0.0,0.0,0.0,1.0,1.0,False
imappo_full,no_intent_reward,intent_potential_shaping,disable_intent_reward,hard,task_completion,variant_minus_reference,3.6460161209062036e-06,3.6460161209062036e-06,3.6460161209062036e-06,0.0,1.0,1.0,False
imappo_full,no_cbf,cbf_safety_filter,safety_filter_mode,hard,collision_rate,variant_minus_reference,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.0,1.0,1.0,False
imappo_full,no_cbf,cbf_safety_filter,safety_filter_mode,hard,task_completion,variant_minus_reference,0.0006173621118068517,0.0006173621118068517,0.0006173621118068517,0.0,1.0,1.0,False
imappo_full,no_nli_gate,nli_prototype_gate,intent_profile_decoder,hard,collision_rate,variant_minus_reference,0.0,0.0,0.0,0.0,1.0,1.0,False
imappo_full,no_nli_gate,nli_prototype_gate,intent_profile_decoder,hard,task_completion,variant_minus_reference,-0.004571295678615472,-0.004571295678615472,-0.004571295678615472,0.0,1.0,1.0,False
imappo_full,prior_only,learned_residual,residual_action_scale,hard,collision_rate,variant_minus_reference,0.0,0.0,0.0,0.0,1.0,1.0,False
imappo_full,prior_only,learned_residual,residual_action_scale,hard,task_completion,variant_minus_reference,-2.152810494104873e-05,-2.152810494104873e-05,-2.152810494104873e-05,0.0,1.0,1.0,False
imappo_full,no_profile_prior,semantic_rule_prior,rule_prior_context,hard,collision_rate,variant_minus_reference,0.0,0.0,0.0,0.0,1.0,1.0,False
imappo_full,no_profile_prior,semantic_rule_prior,rule_prior_context,hard,task_completion,variant_minus_reference,0.01161513457695651,0.01161513457695651,0.01161513457695651,0.0,1.0,1.0,False
no_profile_prior,identity_oracle,semantic_representation,intent_profile_decoder;intent_source,hard,collision_rate,variant_minus_reference,0.0,0.0,0.0,0.0,1.0,1.0,False
no_profile_prior,identity_oracle,semantic_representation,intent_profile_decoder;intent_source,hard,task_completion,variant_minus_reference,2.2707035144176047e-05,2.2707035144176047e-05,2.2707035144176047e-05,0.0,1.0,1.0,False
identity_oracle,no_intent,intent_channel,disable_intent_reward;intent_source,hard,collision_rate,variant_minus_reference,0.0,0.0,0.0,0.0,1.0,1.0,False
identity_oracle,no_intent,intent_channel,disable_intent_reward;intent_source,hard,task_completion,variant_minus_reference,-6.271402041013729e-07,-6.271402041013729e-07,-6.271402041013729e-07,0.0,1.0,1.0,False
