variant,seed,wall_time_seconds,cuda_peak_allocated_mb,text_model_cache_entries,actor_trainable_parameters,critic_trainable_parameters,potential_trainable_parameters
imappo_full,7,68.64876789995469,804.44384765625,2,124550,261633,58688
no_mask,7,14.248350200010464,812.16796875,2,124550,261633,58688
no_attention,7,13.042777499882504,812.16796875,2,124550,261633,58688
no_intent_reward,7,12.924832100048661,812.16796875,2,124550,261633,58688
no_cbf,7,13.141435300000012,812.16796875,2,124550,261633,58688
no_nli_gate,7,12.892315600067377,812.16796875,2,124550,261633,58688
prior_only,7,13.616762999910861,812.16796875,2,124550,261633,58688
no_profile_prior,7,12.57331409980543,812.16796875,2,124550,261633,58688
identity_oracle,7,10.258860899833962,660.35302734375,2,124550,261633,58688
no_intent,7,10.356044500134885,660.34765625,2,124550,261633,58688
