variant,tier,metric,n,mean,std,iqm,ci_low,ci_high
imappo,easy,collision_rate,10,0.11912,0.03609459177710083,0.11844000000000002,0.09808000000000001,0.14064299999999993
imappo,easy,task_completion,10,0.5509566775256396,0.007781637310418412,0.5513041276860238,0.546409923034206,0.5555054393903464
imappo,medium,collision_rate,10,0.20900000000000002,0.08874798276267717,0.18952000000000002,0.16096,0.262201
imappo,medium,task_completion,10,0.5556459781035781,0.009780420570136096,0.5561669302374124,0.5497884721156955,0.5612961721474305
imappo,hard,collision_rate,10,0.5478400000000001,0.15015111795195604,0.5517200000000001,0.461,0.6346049999999999
imappo,hard,task_completion,10,0.5541973771253229,0.009855097549635622,0.55378027456671,0.5483742154465988,0.5599876570279821
mappo,easy,collision_rate,10,0.11351999999999998,0.047767511041618145,0.11580000000000001,0.0846,0.14076100000000002
mappo,easy,task_completion,10,0.5480774957767129,0.010073364425269937,0.5485459692129493,0.5419824764623941,0.5537944988945275
mappo,medium,collision_rate,10,0.17768,0.04624756570170297,0.18080000000000002,0.1496,0.20388
mappo,medium,task_completion,10,0.5530126550859212,0.009501471077870801,0.5539807875037194,0.5471542234605029,0.5582788959446624
mappo,hard,collision_rate,10,0.42207999999999996,0.08708224465029214,0.4378,0.36715900000000007,0.46960100000000005
mappo,hard,task_completion,10,0.5518102098912001,0.012171125244896299,0.5513222307270765,0.5449705910769477,0.5595119438426568
matd3,easy,collision_rate,10,0.37792000000000003,0.1295702023357737,0.35272000000000003,0.3103600000000001,0.461083
matd3,easy,task_completion,10,0.580670884900689,0.008411910377142433,0.5825203119757771,0.5754184007541985,0.5852406414562987
matd3,medium,collision_rate,10,0.46908000000000005,0.12206534497737037,0.43456,0.4037990000000001,0.5483600000000001
matd3,medium,task_completion,10,0.5875659725704789,0.013190968384064944,0.5875044833448528,0.5798698758670912,0.5953435914722384
matd3,hard,collision_rate,10,0.56396,0.13281880054336348,0.52544,0.49288,0.6502429999999999
matd3,hard,task_completion,10,0.5863666806766391,0.008569972039778787,0.5862607208985089,0.5812914982328414,0.5914178479178325
ippo,easy,collision_rate,10,0.30296,0.059976350894887454,0.31839999999999996,0.26571999999999996,0.336281
ippo,easy,task_completion,10,0.6479236006432771,0.010056838624748779,0.6501374109297992,0.6417247931493744,0.6535078532144725
ippo,medium,collision_rate,10,0.40592000000000006,0.06696567611678222,0.4102,0.36559700000000006,0.44504399999999994
ippo,medium,task_completion,10,0.6533328906205297,0.008595894136580701,0.65538703723222,0.6480505224046037,0.6581916716045662
ippo,hard,collision_rate,10,0.62488,0.06064125475101728,0.6124,0.5918800000000001,0.662721
ippo,hard,task_completion,10,0.6561662897351385,0.0076878127883674135,0.6540459144937991,0.6519610296031834,0.661089185700491
