baseline,tier,metric,mean_difference,ci_low,ci_high,effect_dz,exact_p,holm_p,holm_reject_0_05
ippo,easy,collision_rate,-0.18384000000000003,-0.22652,-0.13583900000000004,-2.3955760287606918,0.001953125,0.03515625,True
ippo,easy,task_completion,-0.09696692311763765,-0.10050626220455026,-0.09385454135582602,-16.963446443137332,0.001953125,0.03515625,True
ippo,medium,collision_rate,-0.19692000000000004,-0.2671220000000001,-0.12428000000000003,-1.6075268321651117,0.00390625,0.03515625,True
ippo,medium,task_completion,-0.09768691251695154,-0.10073668014673884,-0.09480010108207909,-19.224540417714437,0.001953125,0.03515625,True
ippo,hard,collision_rate,-0.07704000000000003,-0.161921,0.01796499999999988,-0.4973388821645921,0.150390625,1.0,False
ippo,hard,task_completion,-0.10196891260981562,-0.10640374772147092,-0.09807681390523913,-14.364723983726275,0.001953125,0.03515625,True
mappo,easy,collision_rate,0.005599999999999999,-0.03212000000000001,0.03951999999999999,0.08941433810003863,0.78125,1.0,False
mappo,easy,task_completion,0.0028791817489266292,-0.0020855806470364115,0.00778051362863925,0.33817766905201146,0.30859375,1.0,False
mappo,medium,collision_rate,0.03132,-0.03176,0.101321,0.27659957888639575,0.396484375,1.0,False
mappo,medium,task_completion,0.002633323017656819,-0.0023433844506069524,0.007503990094996993,0.3116959093537992,0.341796875,1.0,False
mappo,hard,collision_rate,0.12575999999999998,0.033640000000000045,0.21996399999999997,0.781468572616523,0.037109375,0.296875,False
mappo,hard,task_completion,0.002387167234122711,-0.004689290192998984,0.009649774334944764,0.196936427653655,0.54296875,1.0,False
matd3,easy,collision_rate,-0.25880000000000003,-0.34524099999999996,-0.18927900000000003,-1.9280846007169017,0.001953125,0.03515625,True
matd3,easy,task_completion,-0.029714207375049605,-0.03415208531045909,-0.025442835567422203,-4.022394280145237,0.001953125,0.03515625,True
matd3,medium,collision_rate,-0.26008000000000003,-0.36112299999999997,-0.17099900000000007,-1.5960723697689811,0.001953125,0.03515625,True
matd3,medium,task_completion,-0.03191999446690082,-0.03741261213181164,-0.026434800754696147,-3.442279232374951,0.001953125,0.03515625,True
matd3,hard,collision_rate,-0.01611999999999999,-0.12231999999999996,0.08680299999999992,-0.0906702487201102,0.7734375,1.0,False
matd3,hard,task_completion,-0.03216930355131629,-0.038322833286732444,-0.026544382126860316,-3.2138334751507736,0.001953125,0.03515625,True
