variant,tier,metric,n,mean,std,iqm,ci_low,ci_high
imappo,easy,collision_rate,1,0.133,0.0,0.133,0.133,0.133
imappo,easy,task_completion,1,0.5527956636920571,0.0,0.5527956636920571,0.5527956636920571,0.5527956636920571
imappo,medium,collision_rate,1,0.341,0.0,0.341,0.341,0.341
imappo,medium,task_completion,1,0.5565146553218365,0.0,0.5565146553218365,0.5565146553218365,0.5565146553218365
imappo,hard,collision_rate,1,0.7369999999999999,0.0,0.7369999999999999,0.7369999999999999,0.7369999999999999
imappo,hard,task_completion,1,0.543876852467656,0.0,0.543876852467656,0.543876852467656,0.543876852467656
imappo_no_mask,easy,collision_rate,1,0.09000000000000001,0.0,0.09000000000000001,0.09000000000000001,0.09000000000000001
imappo_no_mask,easy,task_completion,1,0.5487798810899258,0.0,0.5487798810899258,0.5487798810899258,0.5487798810899258
imappo_no_mask,medium,collision_rate,1,0.32799999999999996,0.0,0.32799999999999996,0.32799999999999996,0.32799999999999996
imappo_no_mask,medium,task_completion,1,0.5465674911886453,0.0,0.5465674911886453,0.5465674911886453,0.5465674911886453
imappo_no_mask,hard,collision_rate,1,0.828,0.0,0.828,0.828,0.828
imappo_no_mask,hard,task_completion,1,0.5363568773716688,0.0,0.5363568773716688,0.5363568773716688,0.5363568773716688
mappo,easy,collision_rate,1,0.124,0.0,0.124,0.124,0.124
mappo,easy,task_completion,1,0.5500067333728074,0.0,0.5500067333728074,0.5500067333728074,0.5500067333728074
mappo,medium,collision_rate,1,0.179,0.0,0.179,0.179,0.179
mappo,medium,task_completion,1,0.5502262075468898,0.0,0.5502262075468898,0.5502262075468898,0.5502262075468898
mappo,hard,collision_rate,1,0.8090000000000002,0.0,0.8090000000000002,0.8090000000000002,0.8090000000000002
mappo,hard,task_completion,1,0.5409774666130543,0.0,0.5409774666130543,0.5409774666130543,0.5409774666130543
ippo,easy,collision_rate,1,0.10400000000000001,0.0,0.10400000000000001,0.10400000000000001,0.10400000000000001
ippo,easy,task_completion,1,0.553507388420403,0.0,0.553507388420403,0.553507388420403,0.553507388420403
ippo,medium,collision_rate,1,0.29000000000000004,0.0,0.29000000000000004,0.29000000000000004,0.29000000000000004
ippo,medium,task_completion,1,0.5542968715876342,0.0,0.5542968715876342,0.5542968715876342,0.5542968715876342
ippo,hard,collision_rate,1,0.639,0.0,0.639,0.639,0.639
ippo,hard,task_completion,1,0.5462506099566816,0.0,0.5462506099566816,0.5462506099566816,0.5462506099566816
happo,easy,collision_rate,1,0.21100000000000002,0.0,0.21100000000000002,0.21100000000000002,0.21100000000000002
happo,easy,task_completion,1,0.5595722109228373,0.0,0.5595722109228373,0.5595722109228373,0.5595722109228373
happo,medium,collision_rate,1,0.43500000000000005,0.0,0.43500000000000005,0.43500000000000005,0.43500000000000005
happo,medium,task_completion,1,0.5585098808631301,0.0,0.5585098808631301,0.5585098808631301,0.5585098808631301
happo,hard,collision_rate,1,0.74,0.0,0.74,0.74,0.74
happo,hard,task_completion,1,0.5531045666411519,0.0,0.5531045666411519,0.5531045666411519,0.5531045666411519
matd3,easy,collision_rate,1,0.229,0.0,0.229,0.229,0.229
matd3,easy,task_completion,1,0.5489899679794907,0.0,0.5489899679794907,0.5489899679794907,0.5489899679794907
matd3,medium,collision_rate,1,0.4620000000000001,0.0,0.4620000000000001,0.4620000000000001,0.4620000000000001
matd3,medium,task_completion,1,0.5548939057141543,0.0,0.5548939057141543,0.5548939057141543,0.5548939057141543
matd3,hard,collision_rate,1,0.5359999999999999,0.0,0.5359999999999999,0.5359999999999999,0.5359999999999999
matd3,hard,task_completion,1,0.546175874195993,0.0,0.546175874195993,0.546175874195993,0.546175874195993
