baseline,tier,metric,mean_difference,ci_low,ci_high,effect_dz,exact_p,holm_p,holm_reject_0_05
imappo_no_mask,easy,collision_rate,0.043,0.043,0.043,0.0,1.0,1.0,False
imappo_no_mask,easy,task_completion,0.0040157826021313126,0.0040157826021313126,0.0040157826021313126,0.0,1.0,1.0,False
imappo_no_mask,medium,collision_rate,0.013000000000000067,0.013000000000000067,0.013000000000000067,0.0,1.0,1.0,False
imappo_no_mask,medium,task_completion,0.009947164133191189,0.009947164133191189,0.009947164133191189,0.0,1.0,1.0,False
imappo_no_mask,hard,collision_rate,-0.09100000000000008,-0.09100000000000008,-0.09100000000000008,0.0,1.0,1.0,False
imappo_no_mask,hard,task_completion,0.00751997509598723,0.00751997509598723,0.00751997509598723,0.0,1.0,1.0,False
mappo,easy,collision_rate,0.009000000000000008,0.009000000000000008,0.009000000000000008,0.0,1.0,1.0,False
mappo,easy,task_completion,0.0027889303192497605,0.0027889303192497605,0.0027889303192497605,0.0,1.0,1.0,False
mappo,medium,collision_rate,0.16200000000000003,0.16200000000000003,0.16200000000000003,0.0,1.0,1.0,False
mappo,medium,task_completion,0.006288447774946748,0.006288447774946748,0.006288447774946748,0.0,1.0,1.0,False
mappo,hard,collision_rate,-0.07200000000000029,-0.07200000000000029,-0.07200000000000029,0.0,1.0,1.0,False
mappo,hard,task_completion,0.0028993858546016993,0.0028993858546016993,0.0028993858546016993,0.0,1.0,1.0,False
ippo,easy,collision_rate,0.028999999999999998,0.028999999999999998,0.028999999999999998,0.0,1.0,1.0,False
ippo,easy,task_completion,-0.0007117247283459083,-0.0007117247283459083,-0.0007117247283459083,0.0,1.0,1.0,False
ippo,medium,collision_rate,0.05099999999999999,0.05099999999999999,0.05099999999999999,0.0,1.0,1.0,False
ippo,medium,task_completion,0.0022177837342023388,0.0022177837342023388,0.0022177837342023388,0.0,1.0,1.0,False
ippo,hard,collision_rate,0.09799999999999986,0.09799999999999986,0.09799999999999986,0.0,1.0,1.0,False
ippo,hard,task_completion,-0.002373757489025574,-0.002373757489025574,-0.002373757489025574,0.0,1.0,1.0,False
happo,easy,collision_rate,-0.07800000000000001,-0.07800000000000001,-0.07800000000000001,0.0,1.0,1.0,False
happo,easy,task_completion,-0.006776547230780139,-0.006776547230780139,-0.006776547230780139,0.0,1.0,1.0,False
happo,medium,collision_rate,-0.09400000000000003,-0.09400000000000003,-0.09400000000000003,0.0,1.0,1.0,False
happo,medium,task_completion,-0.0019952255412936104,-0.0019952255412936104,-0.0019952255412936104,0.0,1.0,1.0,False
happo,hard,collision_rate,-0.0030000000000001137,-0.0030000000000001137,-0.0030000000000001137,0.0,1.0,1.0,False
happo,hard,task_completion,-0.009227714173495882,-0.009227714173495882,-0.009227714173495882,0.0,1.0,1.0,False
matd3,easy,collision_rate,-0.096,-0.096,-0.096,0.0,1.0,1.0,False
matd3,easy,task_completion,0.0038056957125663926,0.0038056957125663926,0.0038056957125663926,0.0,1.0,1.0,False
matd3,medium,collision_rate,-0.12100000000000005,-0.12100000000000005,-0.12100000000000005,0.0,1.0,1.0,False
matd3,medium,task_completion,0.0016207496076822148,0.0016207496076822148,0.0016207496076822148,0.0,1.0,1.0,False
matd3,hard,collision_rate,0.20099999999999996,0.20099999999999996,0.20099999999999996,0.0,1.0,1.0,False
matd3,hard,task_completion,-0.0022990217283369585,-0.0022990217283369585,-0.0022990217283369585,0.0,1.0,1.0,False
