baseline,tier,metric,mean_difference,ci_low,ci_high,effect_dz,exact_p,holm_p,holm_reject_0_05
imappo_no_mask,easy,collision_rate,0.0,0.0,0.0,0.0,1.0,1.0,False
imappo_no_mask,easy,task_completion,0.0006983719269433308,0.0006983719269433308,0.0006983719269433308,0.0,1.0,1.0,False
imappo_no_mask,medium,collision_rate,0.0,0.0,0.0,0.0,1.0,1.0,False
imappo_no_mask,medium,task_completion,-0.005658620744943721,-0.005658620744943721,-0.005658620744943721,0.0,1.0,1.0,False
imappo_no_mask,hard,collision_rate,0.14,0.14,0.14,0.0,1.0,1.0,False
imappo_no_mask,hard,task_completion,-0.0006504882872104822,-0.0006504882872104822,-0.0006504882872104822,0.0,1.0,1.0,False
mappo,easy,collision_rate,0.0,0.0,0.0,0.0,1.0,1.0,False
mappo,easy,task_completion,0.0009206998844941694,0.0009206998844941694,0.0009206998844941694,0.0,1.0,1.0,False
mappo,medium,collision_rate,0.0,0.0,0.0,0.0,1.0,1.0,False
mappo,medium,task_completion,-0.006787159144878485,-0.006787159144878485,-0.006787159144878485,0.0,1.0,1.0,False
mappo,hard,collision_rate,0.10666666666666669,0.10666666666666669,0.10666666666666669,0.0,1.0,1.0,False
mappo,hard,task_completion,-0.0018966610729693745,-0.0018966610729693745,-0.0018966610729693745,0.0,1.0,1.0,False
ippo,easy,collision_rate,0.0,0.0,0.0,0.0,1.0,1.0,False
ippo,easy,task_completion,9.911795457195893e-05,9.911795457195893e-05,9.911795457195893e-05,0.0,1.0,1.0,False
ippo,medium,collision_rate,0.0,0.0,0.0,0.0,1.0,1.0,False
ippo,medium,task_completion,-0.0011971033116182639,-0.0011971033116182639,-0.0011971033116182639,0.0,1.0,1.0,False
ippo,hard,collision_rate,0.03333333333333344,0.03333333333333344,0.03333333333333344,0.0,1.0,1.0,False
ippo,hard,task_completion,-0.0021266107757884622,-0.0021266107757884622,-0.0021266107757884622,0.0,1.0,1.0,False
happo,easy,collision_rate,-0.09333333333333334,-0.09333333333333334,-0.09333333333333334,0.0,1.0,1.0,False
happo,easy,task_completion,-0.0006228732566040396,-0.0006228732566040396,-0.0006228732566040396,0.0,1.0,1.0,False
happo,medium,collision_rate,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,1.0,1.0,False
happo,medium,task_completion,-0.017612452904383402,-0.017612452904383402,-0.017612452904383402,0.0,1.0,1.0,False
happo,hard,collision_rate,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,0.0,1.0,1.0,False
happo,hard,task_completion,-0.007687000234921748,-0.007687000234921748,-0.007687000234921748,0.0,1.0,1.0,False
matd3,easy,collision_rate,-0.32,-0.32,-0.32,0.0,1.0,1.0,False
matd3,easy,task_completion,-0.031844478050867764,-0.031844478050867764,-0.031844478050867764,0.0,1.0,1.0,False
matd3,medium,collision_rate,-0.2933333333333333,-0.2933333333333333,-0.2933333333333333,0.0,1.0,1.0,False
matd3,medium,task_completion,-0.029024957219759617,-0.029024957219759617,-0.029024957219759617,0.0,1.0,1.0,False
matd3,hard,collision_rate,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.0,1.0,1.0,False
matd3,hard,task_completion,-0.018798437615235475,-0.018798437615235475,-0.018798437615235475,0.0,1.0,1.0,False
