actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_reward_threat,episode_reward_time,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,probe_collision_rate,probe_episode_collisions,probe_episode_return,probe_task_completion,return_mean
-0.020429642871022224,imappo,16.029050827026367,1.2609238624572754,0.001,0.0,,,,,,,,,,,,,,0.5,,,,,0.029831981286406517,,,,,-0.46558502316474915
,imappo,,,,0.0,0.02,1.0,-23.27925130724907,-0.08749999850988388,-0.018540363656427417,-0.39756255636166316,-23.285946488380432,0.006695122574456036,-1.7889756839722395,0.33921452741444114,0.0,-21.332582476141397,0.7028651787340641,,,,,,,,,,,
-0.005722812842577696,imappo,49.047019958496094,-2.747436761856079,0.0009996998999666556,1.0,,,,,,,,,,,,,,0.49986662220740247,,,,,0.029716014862060547,,,,,-0.7993142008781433
,imappo,,,,1.0,0.56,28.0,-39.965710043907166,-2.4499999582767487,-0.03209061171855865,-0.3239869859753526,-39.970803916454315,0.005094127089250833,-1.4189275288954377,0.44936724011643037,-37.5,-19.332324599548883,0.6330444809794425,,,,,,,,,,,
-0.016603335738182068,imappo,25.277559280395508,1.2587414979934692,0.0009993997999333112,2.0,,,,,,,,,,,,,,0.49973324441480493,,,,,0.0305902399122715,,,,,-0.589374303817749
,imappo,,,,2.0,0.12,6.0,-29.468712389469147,-0.5249999910593033,-0.01925289711437017,-0.4007326578575885,-29.473693668842316,0.0049813129007816315,-2.6942373607307673,0.3904702009688208,0.0,-26.224940735846758,0.615480932444334,,,,,,,,,,,
-0.007825233042240143,imappo,31.06684112548828,-2.7559807300567627,0.0009990996998999666,3.0,,,,,,,,,,,,,,0.4995998666222074,,,,,0.04079541936516762,,,,,-0.6559314131736755
,imappo,,,,3.0,0.0,0.0,-32.79657286405563,0.0,-0.007645769292849991,-0.3240709719975712,-32.801833271980286,0.005259990692138672,-3.5253639593720436,0.42300766966639003,0.0,-29.3677599132061,0.6446907798945903,,,,,,,,,,,
-0.011755348183214664,imappo,41.621700286865234,1.2579127550125122,0.0009987995998666222,4.0,,,,,,,,,,,,,,0.49946648882960987,,,,,0.043145552277565,,,,,-0.7451269626617432
,imappo,,,,4.0,0.72,36.0,-37.25634264945984,-5.774999901652336,0.00043539421267269063,-0.3991464264545357,-37.26272904872894,0.006386715918779373,-4.988703314214945,0.40052355072612045,0.0,-26.500838615000248,0.6450818763673305,,,,,,,,,,,
-0.0036687671672552824,imappo,31.16986083984375,-2.752829074859619,0.0009984994998332778,5.0,,,,,,,,,,,,,,0.49933311103701233,,,,,0.03343230485916138,,,,,-0.6694371700286865
,imappo,,,,5.0,0.44,22.0,-33.47186017036438,-1.9249999672174454,-0.012590548862618789,-0.311846275570133,-33.47594195604324,0.004081856459379196,-4.8266456769779325,0.3361835215910105,0.0,-26.7360430508852,0.7085931198298931,,,,,,,,,,,
-0.007074765861034393,imappo,26.31609535217285,1.2622416019439697,0.0009981993997999334,6.0,,,,,,,,,,,,,,0.4991997332444148,,,,,0.025332139804959297,,,,,-0.6310458779335022
,imappo,,,,6.0,0.18,9.0,-31.552292466163635,-0.7874999865889549,0.0025964302654415405,-0.40345440739474725,-31.55556845664978,0.0032757967710494995,-5.733921393752098,0.3571707997634803,0.0,-24.99045978114009,0.7868135735392571,,,,,,,,,,,
-0.006105321459472179,imappo,12.024633407592773,-2.749833583831787,0.000997899299766589,7.0,,,,,,,,,,,,,,0.49906635545181727,,,,,0.024966269731521606,,,,,-0.45264896750450134
,imappo,,,,7.0,0.0,0.0,-22.632450133562088,0.0,-0.01486457584828571,-0.3270159686799161,-22.633406698703766,0.0009566526859998703,-0.19499776139855385,0.32229685054630863,0.0,-22.4188251812011,0.8204686816036701,,,,,,,,,,,
-0.010717500932514668,imappo,29.073606491088867,1.2615289688110352,0.0009975991997332445,8.0,,,,,,,,,,,,,,0.49893297765921973,,,,,0.018885236233472824,,,,,-0.6878507733345032
,imappo,,,,8.0,0.54,27.0,-34.39253902435303,-2.3624999597668648,-0.023500718821225064,-0.40209105781832477,-34.39434868097305,0.0018099136650562286,-3.419067627750337,0.40148278835920337,0.0,-28.588672272861004,0.6183056329190731,,,,,,,,,,,
-0.0036630446556955576,imappo,38.393455505371094,-2.7472188472747803,0.0009972990996999,9.0,,,,,,,,,,,,,,0.4987995998666222,,,,,0.02877885475754738,,,,,-0.7779650688171387
,imappo,,,,9.0,1.0,50.0,-38.898254215717316,-6.737499885261059,-0.007056230719442169,-0.3161158906950732,-38.90182971954346,0.003575313836336136,-4.7803486958146095,0.3384633823097829,0.0,-27.39927226305008,0.7557976342737674,,,,,,,,,,,
-0.011957664042711258,imappo,10.712677955627441,1.268285870552063,0.0009969989996665555,10.0,,,,,,,,,,,,,,0.49866622207402467,,,,,0.018304433673620224,,,,,0.31257718801498413
,imappo,,,,10.0,0.94,47.0,15.62885907292366,-4.987499915063381,-0.05541405617896089,-0.39952461307984777,15.626911967992783,0.0019469410181045532,-4.77011539414525,50.432005396248314,0.0,-24.592539554461837,0.6482172918319702,,,,,,,,,,,
-0.00034254230558872223,imappo,31.802034378051758,-2.7446625232696533,0.000996698899633211,11.0,,,,,,,,,,,,,,0.49853284428142713,,,,,0.025204386562108994,,,,,-0.7227203249931335
,imappo,,,,11.0,0.5,25.0,-36.136018335819244,-2.274999961256981,-0.016236704538044933,-0.3145242801219865,-36.13944548368454,0.003426693379878998,-5.603305238299072,0.385244616001728,0.0,-28.31562377884984,0.7266736964881421,,,,,,,,,,,
-0.009481953456997871,imappo,15.12040901184082,1.260217308998108,0.0009963987995998667,12.0,,,,,,,,,,,,,,0.4983994664888296,,,,,0.03310609236359596,,,,,-0.5068545937538147
,imappo,,,,12.0,0.0,0.0,-25.34272962808609,0.0,0.004003285501141818,-0.39999762639126857,-25.349267899990082,0.006538445129990578,-2.115711197257042,0.3577076514852706,0.0,-23.195270054973662,0.7757413227856159,,,,,,,,,,,
-0.0014534289948642254,imappo,40.39039611816406,-2.748387336730957,0.0009960986995665223,13.0,,,,,,,,,,,,,,0.49826608869623207,,,,,0.020303037017583847,,,,,-0.7843214273452759
,imappo,,,,13.0,0.6,30.0,-39.216071009635925,-4.199999928474426,-0.012937066731410596,-0.32361268380191177,-39.219826221466064,0.0037544965744018555,-5.857721781358123,0.36577953647395134,0.0,-29.191334206610918,0.7374779807031154,,,,,,,,,,,
