actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_reward_threat,episode_reward_time,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,probe_collision_rate,probe_episode_collisions,probe_episode_return,probe_task_completion,return_mean
-0.02366001531481743,mappo,16.49325180053711,1.2613232135772705,0.001,0.0,,,,,,,,,,,,,,0.0,,,,,0.023219067603349686,,,,,-0.4782382845878601
,mappo,,,,0.0,0.0,0.0,-23.911913245916367,0.0,0.007475159282618549,-0.3971641205935157,-23.911913245916367,0.0,-1.8898647129535675,0.3635620645909512,0.0,-21.99592158384621,0.6826569326221943,,,,,,,,,,,
-0.013557938858866692,mappo,30.354515075683594,1.2584831714630127,0.0009996998999666556,1.0,,,,,,,,,,,,,,0.0,,,,,0.03291422873735428,,,,,-0.6129054427146912
,mappo,,,,1.0,0.0,0.0,-30.6452716588974,0.0,0.022570377813806886,-0.4088731015654048,-30.6452716588974,0.0,-1.0512651391327381,0.42797162419810775,-14.25,-22.561606540242792,0.6754045836627484,,,,,,,,,,,
-0.011993796564638615,mappo,29.07048797607422,1.2544835805892944,0.0009993997999333112,2.0,,,,,,,,,,,,,,0.0,,,,,0.0382184162735939,,,,,-0.6274613738059998
,mappo,,,,2.0,0.96,48.0,-31.373066127300262,-4.199999928474426,-0.014812002659937207,-0.40353951552242506,-31.373066127300262,0.0,-2.675377279520035,0.4002307603113877,0.0,-24.47956811822951,0.6347707572579384,,,,,,,,,,,
-0.009395799599587917,mappo,21.65508460998535,1.2514028549194336,0.0009990996998999666,3.0,,,,,,,,,,,,,,0.0,,,,,0.0233432799577713,,,,,-0.5492293834686279
,mappo,,,,3.0,0.94,47.0,-27.461465448141098,-4.374999925494194,0.018389729012426415,-0.420584210245579,-27.461465448141098,0.0,-5.799762304872274,0.3715975606425559,0.0,-17.256106415603426,0.773070670068264,,,,,,,,,,,
-0.011683518998324871,mappo,27.357315063476562,1.2487291097640991,0.0009987995998666222,4.0,,,,,,,,,,,,,,0.0,,,,,0.032565318048000336,,,,,-0.6298719644546509
,mappo,,,,4.0,0.0,0.0,-31.493596613407135,0.0,-0.022469087417277933,-0.39765156385692535,-31.493596613407135,0.0,-3.0270873503759503,0.3688083408928833,0.0,-28.415196768939495,0.724849338978529,,,,,,,,,,,
-0.011743869632482529,mappo,38.46650314331055,1.2508598566055298,0.0009984994998332778,5.0,,,,,,,,,,,,,,0.0,,,,,0.02005622908473015,,,,,-0.7391278147697449
,mappo,,,,5.0,0.84,42.0,-36.9563924074173,-4.943749915808439,0.0023746458836910733,-0.39388760967267444,-36.9563924074173,0.0,-6.91410119459033,0.45607844936239417,0.0,-25.16310663893819,0.6598016229271889,,,,,,,,,,,
-0.006289629265666008,mappo,34.73619079589844,1.2551316022872925,0.0009981993997999334,6.0,,,,,,,,,,,,,,0.0,,,,,0.03138420358300209,,,,,-0.7176224589347839
,mappo,,,,6.0,0.34,17.0,-35.8811194896698,-1.6624999716877937,-0.017795216716933737,-0.4017045669752406,-35.8811194896698,0.0,-4.216487902216613,0.4147682803468342,0.0,-29.99740020930767,0.6391606800258159,,,,,,,,,,,
-0.011337697505950928,mappo,20.171926498413086,1.2519510984420776,0.000997899299766589,7.0,,,,,,,,,,,,,,0.0,,,,,0.029962843284010887,,,,,-0.5591988563537598
