actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_reward_threat,episode_reward_time,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,probe_collision_rate,probe_episode_collisions,probe_episode_return,probe_task_completion,return_mean
-0.021223431453108788,imappo,32.718997955322266,1.2616161108016968,0.001,0.0,,,,,,,,,,,,,,0.5,,,,,0.034934788942337036,,,,,-0.6566619277000427
,imappo,,,,0.0,0.72,36.0,-32.83309477567673,-3.1499999463558197,0.0062162503582499085,-0.3974690796167124,-32.8391318321228,0.00603635236620903,-1.995818730443716,0.4090599949904572,0.0,-27.711120013147593,0.6427942644059658,,,,,,,,,,,
-0.010497670620679855,imappo,28.749895095825195,1.2552720308303833,0.0009996998999666556,1.0,,,,,,,,,,,,,,0.49986662220740247,,,,,0.04310130327939987,,,,,-0.6341440677642822
,imappo,,,,1.0,0.12,6.0,-31.707204401493073,-0.5249999910593033,-0.02379328709301376,-0.40859792022092734,-31.71426397562027,0.007059566676616669,-2.7422933699563146,0.3849176612247902,0.0,-28.399497024714947,0.7479605948925019,,,,,,,,,,,
-0.013551781885325909,imappo,18.84680938720703,1.2498044967651367,0.0009993997999333112,2.0,,,,,,,,,,,,,,0.49973324441480493,,,,,0.055326543748378754,,,,,-0.5150383710861206
,imappo,,,,2.0,0.0,0.0,-25.75191903114319,0.0,0.019781653401111043,-0.4020997158222599,-25.761717319488525,0.009798165410757065,-0.042295634746551514,0.3359581282354043,0.0,-25.673061542212963,0.7098008130490779,,,,,,,,,,,
-0.013173176907002926,imappo,29.979782104492188,1.2470752000808716,0.0009990996998999666,3.0,,,,,,,,,,,,,,0.4995998666222074,,,,,0.0344742052257061,,,,,-0.6469525098800659
,imappo,,,,3.0,0.78,39.0,-32.347622752189636,-3.4124999418854713,0.02868153963446929,-0.42005775126744993,-32.35358119010925,0.005958326160907745,-3.016347983852029,0.4239955974926488,0.0,-25.95735241100192,0.6014667984843254,,,,,,,,,,,
-0.013340304605662823,imappo,22.907814025878906,1.2448146343231201,0.0009987995998666222,4.0,,,,,,,,,,,,,,0.49946648882960987,,,,,0.041406359523534775,,,,,-0.5840774774551392
,imappo,,,,4.0,0.4,20.0,-29.2038711309433,-2.099999964237213,-0.010341358360449249,-0.3974621246015886,-29.210505068302155,0.006633462384343147,-2.7835159730166197,0.40573118522343066,0.0,-24.324917036341503,0.6672953741252422,,,,,,,,,,,
-0.010457588359713554,imappo,45.19482421875,1.248143196105957,0.0009984994998332778,5.0,,,,,,,,,,,,,,0.49933311103701233,,,,,0.04055384546518326,,,,,-0.7974647283554077
,imappo,,,,5.0,0.96,48.0,-39.87323623895645,-6.649999886751175,-0.017000751589819174,-0.39566496256156825,-39.87708342075348,0.0038470737636089325,-6.612862365320325,0.3857185505362395,0.0,-26.58727392554283,0.7269304609298706,,,,,,,,,,,
-0.008415930904448032,imappo,17.412370681762695,1.245305061340332,0.0009981993997999334,6.0,,,,,,,,,,,,,,0.4991997332444148,,,,,0.045522645115852356,,,,,-0.5241744518280029
,imappo,,,,6.0,0.0,0.0,-26.208721578121185,0.0,-0.00800615551293049,-0.400749407686817,-26.216600358486176,0.007878869539126754,-1.2665265891700983,0.3891476312828672,0.0,-24.930465893121436,0.6851427321135998,,,,,,,,,,,
-0.014752179384231567,imappo,23.598861694335938,1.2447798252105713,0.000997899299766589,7.0,,,,,,,,,,,,,,0.49906635545181727,,,,,0.050126008689403534,,,,,-0.6146023273468018
,imappo,,,,7.0,0.22,11.0,-30.73011863231659,-0.9624999836087227,-0.047007421071732836,-0.4023150907305535,-30.73685222864151,0.006734088063240051,-2.1632682364434004,0.46842109064527904,0.0,-27.63018275797367,0.6026838229596615,,,,,,,,,,,
-0.014263122342526913,imappo,22.25445556640625,1.243689775466919,0.0009975991997332445,8.0,,,,,,,,,,,,,,0.49893297765921973,,,,,0.026637690141797066,,,,,-0.5978800058364868
,imappo,,,,8.0,0.02,1.0,-29.894001841545105,-0.08749999850988388,-0.02143600063635631,-0.40101997559395386,-29.898690700531006,0.00468830019235611,-2.890199538320303,0.38480217527740024,0.0,-26.883337184786797,0.6545806051790715,,,,,,,,,,,
-0.010153819806873798,imappo,10.325374603271484,1.246353030204773,0.0009972990996999,9.0,,,,,,,,,,,,,,0.4987995998666222,,,,,0.039157845079898834,,,,,-0.44450297951698303
,imappo,,,,9.0,0.0,0.0,-22.22514918446541,0.0,0.010393533490628215,-0.39263090264284983,-22.23284325003624,0.007693937048316002,-1.7804782297462225,0.42771049310977105,0.0,-20.497837856441038,0.6034747940301896,,,,,,,,,,,
-0.012608439661562443,imappo,18.372228622436523,1.2572393417358398,0.0009969989996665555,10.0,,,,,,,,,,,,,,0.49866622207402467,,,,,0.04665500670671463,,,,,-0.5814191102981567
,imappo,,,,10.0,0.0,0.0,-29.070954740047455,0.0,0.02117544195419896,-0.39965257405128796,-29.08125251531601,0.010297365486621857,-1.8062912970781326,0.3878639886589781,0.0,-27.284347876906395,0.6730345365405083,,,,,,,,,,,
