actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_reward_threat,episode_reward_time,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,probe_collision_rate,probe_episode_collisions,probe_episode_return,probe_task_completion,return_mean
-0.029875928536057472,imappo,14.26672077178955,1.2534953355789185,0.001,0.0,,,,,,,,,,,,,,0.5,,,,,0.038239412009716034,,,,,-0.6007598638534546
,imappo,,,,0.0,0.0,0.0,-15.018997430801392,0.0,-0.0067164465253881644,-0.1978978758706944,-15.024493038654327,0.005495890974998474,-2.0172739196568727,0.17445673752968105,0.0,-12.977061681449413,0.7210064995288848,,,,,,,,,,,
-0.021416617557406425,imappo,15.187142372131348,1.2495949268341064,0.0007750000000000001,1.0,,,,,,,,,,,,,,0.4,,,,,0.04014056175947189,,,,,-0.6041916012763977
,imappo,,,,1.0,0.52,13.0,-15.104791164398193,-1.1374999806284904,-0.0019366890374499235,-0.19984131697856355,-15.107255518436432,0.00246424600481987,-0.9341326933354139,0.23483552662582952,0.0,-13.068680211901665,0.5569950777292252,,,,,,,,,,,
-0.015804758295416832,imappo,14.444685935974121,1.251182198524475,0.00055,2.0,,,,,,,,,,,,,,0.3,,,,,0.0414295457303524,,,,,-0.6072278022766113
,imappo,,,,2.0,0.0,0.0,-15.180693745613098,0.0,0.005061015723640594,-0.20101992023410276,-15.183624267578125,0.002930575981736183,-1.750826532021165,0.21495254330329772,0.0,-13.45179127715528,0.7304546934366226,,,,,,,,,,,
-0.01341573428362608,imappo,13.870086669921875,1.2509169578552246,0.000325,3.0,,,,,,,,,,,,,,0.19999999999999996,,,,,0.03982912749052048,,,,,-0.5918691754341125
,imappo,,,,3.0,0.04,1.0,-14.796730399131775,-0.08749999850988388,0.009278573258711731,-0.20475890922534745,-14.79761654138565,0.0008859448134899139,-2.655335573479533,0.20838057647051755,0.0,-12.06768113002181,0.6498513796925545,,,,,,,,,,,
-0.013327537104487419,imappo,19.294322967529297,1.2505381107330322,0.00010000000000000005,4.0,,,,,,,,,,,,,,0.09999999999999998,,,,,0.03602541238069534,,,,,-0.6953859925270081
,imappo,,,,4.0,0.24,6.0,-17.384649455547333,-0.5249999910593033,0.002541909886531357,-0.1991764646518277,-17.385178327560425,0.0005286112427711487,-3.950380604714155,0.23003907532984158,0.0,-12.943202178925276,0.6061236292123795,,,,,,,,,,,
,imappo,,,,4.0,,,,,,,,,,,,,,,0.27999999999999997,7.0,-16.33001549243927,0.46331864470243456,,,,,,
,imappo,,,,4.0,,,,,,,,,,,,,,,,,,,,0.48,12.0,-17.708386135101318,0.5103421080112457,
