actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_reward_threat,episode_reward_time,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,return_mean
-0.007126932963728905,imappo,2.5380604711244814e-06,0.8378829956054688,0.001,0.0,,,,,,,,,,,,,,0.5,,,,,0.03456561267375946,9.706502896733582e-05
,imappo,,,,0.0,0.0,0.0,0.00485325139015913,0.0,0.0,0.0,0.0,0.00485325139015913,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.003256578929722309,imappo,5.723379217670299e-06,0.839835524559021,0.0009996998999666556,1.0,,,,,,,,,,,,,,0.49986662220740247,,,,,0.03658454120159149,8.838283247314394e-05
,imappo,,,,1.0,0.0,0.0,0.0044191414690430975,0.0,0.0,0.0,0.0,0.0044191414690430975,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.001959755551069975,imappo,1.379260720568709e-05,0.844569981098175,0.0009993997999333112,2.0,,,,,,,,,,,,,,0.49973324441480493,,,,,0.032358214259147644,7.718896813457832e-05
,imappo,,,,2.0,0.0,0.0,0.003859448168725521,0.0,0.0,0.0,0.0,0.003859448168725521,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0037995190359652042,imappo,2.4305936676682904e-06,0.8482442498207092,0.0009990996998999666,3.0,,,,,,,,,,,,,,0.4995998666222074,,,,,0.03300914540886879,8.686738146934658e-05
,imappo,,,,3.0,0.0,0.0,0.00434336897887988,0.0,0.0,0.0,0.0,0.00434336897887988,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.002380956197157502,imappo,5.914642315474339e-06,0.8505319952964783,0.0009987995998666222,4.0,,,,,,,,,,,,,,0.49946648882960987,,,,,0.036647308617830276,0.00010000585461966693
,imappo,,,,4.0,0.0,0.0,0.005000293182092719,0.0,0.0,0.0,0.0,0.005000293182092719,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.00642686802893877,imappo,1.3701418311029556e-06,0.8524840474128723,0.0009984994998332778,5.0,,,,,,,,,,,,,,0.49933311103701233,,,,,0.03663993626832962,9.532825788483024e-05
,imappo,,,,5.0,0.0,0.0,0.0047664127487223595,0.0,0.0,0.0,0.0,0.0047664127487223595,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.005195197183638811,imappo,1.4678487332275836e-06,0.8535519242286682,0.0009981993997999334,6.0,,,,,,,,,,,,,,0.4991997332444148,,,,,0.03679431602358818,9.426132601220161e-05
,imappo,,,,6.0,0.0,0.0,0.004713066413387423,0.0,0.0,0.0,0.0,0.004713066413387423,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.008061879314482212,imappo,5.470000701279787e-07,0.8545324802398682,0.000997899299766589,7.0,,,,,,,,,,,,,,0.49906635545181727,,,,,0.03500158339738846,8.875939238350838e-05
,imappo,,,,7.0,0.0,0.0,0.0044379693317750935,0.0,0.0,0.0,0.0,0.0044379693317750935,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.013861842453479767,imappo,3.205632026492822e-07,0.8578943610191345,0.0009975991997332445,8.0,,,,,,,,,,,,,,0.49893297765921973,,,,,0.03414198011159897,8.741088095121086e-05
,imappo,,,,8.0,0.0,0.0,0.0043705440548365004,0.0,0.0,0.0,0.0,0.0043705440548365004,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.005263736471533775,imappo,4.3200066102144774e-07,0.8600642085075378,0.0009972990996999,9.0,,,,,,,,,,,,,,0.4987995998666222,,,,,0.029331505298614502,7.377561996690929e-05
,imappo,,,,9.0,0.0,0.0,0.0036887810310872737,0.0,0.0,0.0,0.0,0.0036887810310872737,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0040732938796281815,imappo,1.0732767350418726e-06,0.8677215576171875,0.0009969989996665555,10.0,,,,,,,,,,,,,,0.49866622207402467,,,,,0.034575920552015305,8.965886809164658e-05
,imappo,,,,10.0,0.0,0.0,0.004482943899347447,0.0,0.0,0.0,0.0,0.004482943899347447,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0076286024414002895,imappo,2.469224682499771e-07,0.8693091869354248,0.000996698899633211,11.0,,,,,,,,,,,,,,0.49853284428142713,,,,,0.027675243094563484,7.029120752122253e-05
,imappo,,,,11.0,0.0,0.0,0.0035145604019817256,0.0,0.0,0.0,0.0,0.0035145604019817256,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.009096524678170681,imappo,7.056717095110798e-07,0.8735272288322449,0.0009963987995998667,12.0,,,,,,,,,,,,,,0.4983994664888296,,,,,0.031656138598918915,8.323638758156449e-05
,imappo,,,,12.0,0.0,0.0,0.004161819233559072,0.0,0.0,0.0,0.0,0.004161819233559072,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.00155754410661757,imappo,2.627191406645579e-07,0.8720148801803589,0.0009960986995665223,13.0,,,,,,,,,,,,,,0.49826608869623207,,,,,0.028387993574142456,6.943810876691714e-05
,imappo,,,,13.0,0.0,0.0,0.003471905645710649,0.0,0.0,0.0,0.0,0.003471905645710649,0.0,0.0,0.0,0.0,0.0,,,,,,,
