actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_reward_threat,episode_reward_time,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,return_mean
-0.003796662436798215,mappo,1.4148552509141155e-05,0.8325566649436951,0.001,0.0,,,,,,,,,,,,,,0.0,,,,,0.009881820529699326,0.0
,mappo,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.005638438276946545,mappo,1.4270227666202118e-06,0.827854335308075,0.0009996998999666556,1.0,,,,,,,,,,,,,,0.0,,,,,0.009570401161909103,0.0
,mappo,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0070806266739964485,mappo,9.852609764493536e-06,0.8271123170852661,0.0009993997999333112,2.0,,,,,,,,,,,,,,0.0,,,,,0.00970386154949665,0.0
,mappo,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.005540008656680584,mappo,3.379588520147081e-07,0.8268519639968872,0.0009990996998999666,3.0,,,,,,,,,,,,,,0.0,,,,,0.009914085268974304,0.0
,mappo,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.001990170683711767,mappo,2.806541942845797e-06,0.8236715197563171,0.0009987995998666222,4.0,,,,,,,,,,,,,,0.0,,,,,0.009730545803904533,0.0
,mappo,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0017730183899402618,mappo,1.0047051546280272e-06,0.8204926252365112,0.0009984994998332778,5.0,,,,,,,,,,,,,,0.0,,,,,0.00962891150265932,0.0
,mappo,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.005292605608701706,mappo,6.689079441457579e-07,0.8193240165710449,0.0009981993997999334,6.0,,,,,,,,,,,,,,0.0,,,,,0.009683793410658836,0.0
,mappo,,,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0022012239787727594,mappo,1.351050684661459e-07,0.8198577761650085,0.000997899299766589,7.0,,,,,,,,,,,,,,0.0,,,,,0.009906086139380932,0.0
