actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,probe_collision_rate,probe_episode_collisions,probe_episode_return,probe_task_completion,return_mean
-0.015619020909070969,imappo,0.001734423916786909,0.2515048086643219,0.001,0.0,,,,,,,,,,,,0.5,,,,,1.2678911685943604,,,,,-0.003212188370525837
,imappo,,,,0.0,0.0,0.0,-0.16060941584873945,0.0,-0.0228723770160002,-0.38958290992013644,-0.3710568150272593,0.21044740080833435,-0.3263630270957947,0.3677615005271946,0.5767016878724098,,,,,,,,,,,
-0.01011054590344429,imappo,0.7769896984100342,-0.7572986483573914,0.0009996998999666556,1.0,,,,,,,,,,,,0.49986662220740247,,,,,1.1738393306732178,,,,,-0.10658159852027893
,imappo,,,,1.0,0.2,10.0,-5.329079918563366,-1.7499999701976776,-0.04122564014596719,-0.3656270676001441,-5.491336919367313,0.16225708555793972,-3.686636485159397,0.35215215392463506,0.663587010204792,,,,,,,,,,,
-0.01997712254524231,imappo,0.0009661202202551067,1.2287685871124268,0.0009993997999333112,2.0,,,,,,,,,,,,0.49973324441480493,,,,,2.8152050971984863,,,,,0.007727558724582195
,imappo,,,,2.0,0.0,0.0,0.38637795444810763,0.0,0.019878889098919217,-0.40993924465146847,0.03540841297945008,0.35096954042091966,0.0,0.4254687672550972,0.5861311647295951,,,,,,,,,,,
-0.018904251977801323,imappo,0.00018314438057132065,1.221854329109192,0.0009990996998999666,3.0,,,,,,,,,,,,0.4995998666222074,,,,,0.8357682228088379,,,,,0.0006924306508153677
,imappo,,,,3.0,0.0,0.0,0.03462153300642967,0.0,0.04518407093519272,-0.4107277824659832,-0.06640549225267023,0.10102702846052125,0.0,0.29913821806189844,0.7586219576001167,,,,,,,,,,,
-0.0042968750931322575,imappo,0.004094250034540892,-2.7729992866516113,0.0009987995998666222,4.0,,,,,,,,,,,,0.49946648882960987,,,,,2.422415256500244,,,,,-0.006115678697824478
,imappo,,,,4.0,0.0,0.0,-0.3057839152170345,0.0,-0.01694825028920377,-0.30926258501222037,-0.6157327982364222,0.30994888408167753,-0.5930943936109543,0.30357242891386704,0.5482943394780159,,,,,,,,,,,
-0.009429454803466797,imappo,3.705326557159424,-0.7858908772468567,0.0009984994998332778,5.0,,,,,,,,,,,,0.49933311103701233,,,,,1.2651917934417725,,,,,-0.2182970643043518
,imappo,,,,5.0,0.92,46.0,-10.914853416383266,-8.049999862909317,0.04683232278637206,-0.3880241324659437,-11.091416493058205,0.1765631150919944,-3.015237309038639,0.3150124276544375,0.7216513907909393,,,,,,,,,,,
-0.010173036716878414,imappo,0.01184331439435482,-0.7990351319313049,0.0009981993997999334,6.0,,,,,,,,,,,,0.4991997332444148,,,,,0.8795150518417358,,,,,-0.014858728274703026
,imappo,,,,6.0,0.0,0.0,-0.7429364025592804,0.0,0.010055848766675979,-0.34626922116149217,-0.8781927595846355,0.13525635085534304,-0.901851125061512,0.3598717474578734,0.5058353555202484,,,,,,,,,,,
-0.012382866814732552,imappo,0.24337802827358246,-0.8167552947998047,0.000997899299766589,7.0,,,,,,,,,,,,0.49906635545181727,,,,,1.61884343624115,,,,,-0.0758814737200737
,imappo,,,,7.0,0.0,0.0,-3.794074133038521,0.0,-0.015972884389611863,-0.349860422720667,-4.0050271563231945,0.2109530500601977,-3.9904085882008076,0.3512147388896665,0.7442632296681404,,,,,,,,,,,
-0.006214401684701443,imappo,0.023313021287322044,-0.8330865502357483,0.0009975991997332445,8.0,,,,,,,,,,,,0.49893297765921973,,,,,2.1959519386291504,,,,,-0.017713826149702072
,imappo,,,,8.0,0.0,0.0,-0.8856912609189749,0.0,-0.028816227900051672,-0.3562388818827458,-1.1904218774288893,0.30473061988595873,-1.1577173322439194,0.3523505642042437,0.7599288499355317,,,,,,,,,,,
-0.004987773019820452,imappo,0.04189955070614815,-1.8644776344299316,0.0009972990996999,9.0,,,,,,,,,,,,0.4987995998666222,,,,,1.6793475151062012,,,,,-0.02867010422050953
,imappo,,,,9.0,0.0,0.0,-1.4335051830857992,0.0,-0.007650554439351254,-0.33234836842893856,-1.6408308977261186,0.2073257340816781,-1.667354017496109,0.36652203388803173,0.7208158922195435,,,,,,,,,,,
