actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,probe_collision_rate,probe_episode_collisions,probe_episode_return,probe_task_completion,return_mean
0.24486933648586273,imappo,2.9467825889587402,1.245975136756897,0.001,0.0,,,,,,,,,,,,0.5,,,,,0.08909082412719727,,,,,-0.22836211323738098
,imappo,,,,0.0,0.8,24.0,-6.850862838327885,-3.1937499456107616,-0.020851715597217435,-0.24590202508989023,-6.8720336109399796,0.021170881111174822,-3.6714335680007935,0.25990356019838146,0.6442167724172274,,,,,,,,,,,
0.000680222176015377,imappo,0.8361953496932983,-2.7549033164978027,0.0009939597315436243,1.0,,,,,,,,,,,,0.49731543624161073,,,,,0.13188332319259644,,,,,-0.13805244863033295
,imappo,,,,1.0,0.6333333333333333,19.0,-4.141573827713728,-1.6624999716877937,-0.004311075440810441,-0.2003797187571763,-4.162340272217989,0.020766464702319354,-2.5548478392884135,0.25969837099455617,0.49054967214663825,,,,,,,,,,,
-0.39546439051628113,imappo,0.02345527522265911,1.2237154245376587,0.0009879194630872483,2.0,,,,,,,,,,,,0.49463087248322146,,,,,0.05245091766119003,,,,,-0.03485579788684845
,imappo,,,,2.0,0.0,0.0,-1.045673979446292,0.0,0.009790392180775598,-0.2443448457052,-1.0524703152477741,0.0067963453657284845,-1.0824707299470901,0.2645548682194203,0.7503797980646293,,,,,,,,,,,
0.19270126521587372,imappo,0.5271844267845154,-2.7621941566467285,0.0009818791946308726,3.0,,,,,,,,,,,,0.4919463087248322,,,,,0.03592737764120102,,,,,-0.1137302964925766
,imappo,,,,3.0,0.6333333333333333,19.0,-3.411909054964781,-1.6624999716877937,0.0014113856012158976,-0.19719955238542752,-3.422921858727932,0.011012746621418046,-1.817625503987074,0.2529917396765313,0.7134888658920924,,,,,,,,,,,
0.3656078279018402,imappo,0.008797534741461277,-2.76615309715271,0.0009758389261744966,4.0,,,,,,,,,,,,0.4892617449664429,,,,,0.019073911011219025,,,,,-0.031039992347359657
,imappo,,,,4.0,0.0,0.0,-0.9311997890472412,0.0,-0.017389276721132774,-0.1911918738987879,-0.9314946932718158,0.00029490139422705397,-0.9860978526994586,0.26318432093103183,0.6170717120170593,,,,,,,,,,,
0.06648732721805573,imappo,0.19154439866542816,-2.7626919746398926,0.0009697986577181209,5.0,,,,,,,,,,,,0.4865771812080537,,,,,0.05021750181913376,,,,,-0.08684014528989792
,imappo,,,,5.0,0.0,0.0,-2.6052042320370674,0.0,0.010993563422744046,-0.19874490491929464,-2.6163410916924477,0.011136847169836983,-2.6739473026245832,0.24535756433624556,0.7188392539819082,,,,,,,,,,,
0.20979416370391846,imappo,0.01575041003525257,0.21233132481575012,0.000963758389261745,6.0,,,,,,,,,,,,0.48389261744966444,,,,,0.2320616990327835,,,,,-0.03706508129835129
,imappo,,,,6.0,0.0,0.0,-1.1119523961097002,0.0,0.004250797006079665,-0.22346385309356265,-1.1379196792840958,0.025967281049815938,-1.1360286362469196,0.21732202483690344,0.7495729411641757,,,,,,,,,,,
0.3548915982246399,imappo,0.017304325476288795,0.22740602493286133,0.0009577181208053692,7.0,,,,,,,,,,,,0.4812080536912752,,,,,0.19069969654083252,,,,,-0.03683002293109894
,imappo,,,,7.0,0.0,0.0,-1.1049006758257747,0.0,-0.008700399894038924,-0.23371328403572988,-1.136018654331565,0.03111797632300295,-1.1089479038491845,0.21534292992464543,0.5398606084287166,,,,,,,,,,,
-0.19840289652347565,imappo,0.14561913907527924,-2.7492289543151855,0.0009516778523489933,8.0,,,,,,,,,,,,0.4785234899328859,,,,,0.00518454797565937,,,,,-0.09062226861715317
,imappo,,,,8.0,0.0,0.0,-2.718667946755886,0.0,-0.0023555320513892752,-0.19581524524983251,-2.723187394440174,0.004519454061664874,-2.7788398023694754,0.2538231806101976,0.6151333863536517,,,,,,,,,,,
0.11310829222202301,imappo,0.24637722969055176,-2.7464077472686768,0.0009456375838926175,9.0,,,,,,,,,,,,0.47583892617449663,,,,,0.04011078178882599,,,,,-0.10244631767272949
,imappo,,,,9.0,0.23333333333333334,7.0,-3.0733896493911743,-0.6124999895691872,-0.005928711897354333,-0.20107095209459658,-3.083436481654644,0.01004681178892497,-2.5584875335916877,0.29455074634824996,0.6029738175372282,,,,,,,,,,,
0.05174243822693825,imappo,1.0842375755310059,1.2246421575546265,0.0009395973154362416,10.0,,,,,,,,,,,,0.47315436241610737,,,,,0.21080811321735382,,,,,-0.15254329144954681
,imappo,,,,10.0,0.7,21.0,-4.576298736035824,-1.8374999687075615,-0.0021906067919985617,-0.2417071929667145,-4.605100002139807,0.028801246982766315,-2.7523071970790625,0.22860497894544096,0.6921735547482968,,,,,,,,,,,
0.0632297620177269,imappo,2.6066858768463135,1.2085918188095093,0.0009335570469798658,11.0,,,,,,,,,,,,0.4704697986577181,,,,,0.14130067825317383,,,,,-0.25522369146347046
,imappo,,,,11.0,1.0,30.0,-7.65671007335186,-4.112499929964542,-0.006716171232483248,-0.24484188071073731,-7.658103972673416,0.001393865153659135,-3.5856799464672804,0.2916340588744788,0.6289149398605028,,,,,,,,,,,
-0.04187031090259552,imappo,0.18029621243476868,-2.761723279953003,0.00092751677852349,12.0,,,,,,,,,,,,0.4677852348993289,,,,,0.016287721693515778,,,,,-0.09559883177280426
,imappo,,,,12.0,0.13333333333333333,4.0,-2.86796485632658,-0.3499999940395355,-0.03550072576308594,-0.2052801205427386,-2.8733750879764557,0.0054101410023577046,-2.532503029331565,0.24990881777284812,0.6518231607973576,,,,,,,,,,,
0.1746254563331604,imappo,0.005927800666540861,-2.757181167602539,0.0009214765100671142,13.0,,,,,,,,,,,,0.4651006711409396,,,,,0.005234171636402607,,,,,-0.028647461906075478
,imappo,,,,13.0,0.0,0.0,-0.8594238460063934,0.0,-0.02318717386606295,-0.19827908361548907,-0.8603245709091425,0.0009007212865981273,-0.9093986582010984,0.2705403440711507,0.6931542550524076,,,,,,,,,,,
0.07470560818910599,imappo,0.0009721318492665887,1.1776466369628906,0.0009154362416107383,14.0,,,,,,,,,,,,0.46241610738255035,,,,,0.008672559633851051,,,,,-0.024896981194615364
,imappo,,,,14.0,0.0,0.0,-0.7469094661064446,0.0,-0.025981885728526777,-0.2453808137215674,-0.7644117772579193,0.01750230491597904,-0.760721929371357,0.2676728566341353,0.5638984215756258,,,,,,,,,,,
0.3287599980831146,imappo,0.006873867008835077,-2.7784290313720703,0.0009093959731543624,15.0,,,,,,,,,,,,0.4597315436241611,,,,,0.006855932995676994,,,,,-0.008782445453107357
,imappo,,,,15.0,0.0,0.0,-0.2634733713930473,0.0,-0.0038526161313257035,-0.1896321465355868,-0.26431164890527725,0.0008382742271351162,-0.34556639567017555,0.27473951091087656,0.6028699815273285,,,,,,,,,,,
-0.09237782657146454,imappo,0.0416494682431221,-2.78487229347229,0.0009033557046979866,16.0,,,,,,,,,,,,0.4570469798657718,,,,,0.05341101437807083,,,,,-0.0692094936966896
,imappo,,,,16.0,0.0,0.0,-2.0762849599123,0.0,-0.003816781904220079,-0.19587388199215638,-2.0806874223053455,0.004402436446980573,-2.140228637494147,0.25923189960758464,0.5922184700767199,,,,,,,,,,,
0.150540292263031,imappo,0.11900006234645844,-2.7877938747406006,0.0008973154362416107,17.0,,,,,,,,,,,,0.45436241610738254,,,,,0.00748883280903101,,,,,-0.10277115553617477
,imappo,,,,17.0,0.03333333333333333,1.0,-3.0831346064805984,-0.08749999850988388,-0.00508871305902403,-0.18777558239526115,-3.0813167840242386,-0.0018178335740230978,-3.0381087763234973,0.2371562822991109,0.6175518137713273,,,,,,,,,,,
-0.43598368763923645,imappo,0.01188775897026062,0.1861792504787445,0.0008912751677852349,18.0,,,,,,,,,,,,0.45167785234899327,,,,,0.5000253319740295,,,,,-0.018882662057876587
,imappo,,,,18.0,0.0,0.0,-0.566479847766459,0.0,0.0006779371475857943,-0.22517059140955098,-0.580715443007648,0.014235594833735377,-0.5612811893224716,0.2050584011990395,0.5707823557158311,,,,,,,,,,,
0.03936492279171944,imappo,0.009368297643959522,1.1739856004714966,0.000885234899328859,19.0,,,,,,,,,,,,0.448993288590604,,,,,0.21283790469169617,,,,,-0.05021999776363373
,imappo,,,,19.0,0.03333333333333333,1.0,-1.5065998379141092,-0.08749999850988388,-0.023483018286697188,-0.23908148307236843,-1.5671682804822922,0.06056844524209737,-1.4811343178153038,0.26403054197635356,0.6451326777537664,,,,,,,,,,,
0.20942674577236176,imappo,0.8909820318222046,-2.7787654399871826,0.0008791946308724832,20.0,,,,,,,,,,,,0.44630872483221473,,,,,0.004255309700965881,,,,,-0.15673312544822693
,imappo,,,,20.0,0.7333333333333333,22.0,-4.701994389295578,-2.187499962747097,0.007951963234404502,-0.2062803735389025,-4.7048894092440605,0.0028950417472515255,-2.6043638372793794,0.28530273994783784,0.5783828241129716,,,,,,,,,,,
0.27478262782096863,imappo,0.0017853621393442154,-2.775416135787964,0.0008731543624161074,21.0,,,,,,,,,,,,0.4436241610738255,,,,,0.004283755086362362,,,,,-0.03419522941112518
,imappo,,,,21.0,0.0,0.0,-1.025856852531433,0.0,-0.01721280334476205,-0.193579138158384,-1.0269849263131618,0.0011280599428573623,-1.0764823108911514,0.26028933433190105,0.6122163571417332,,,,,,,,,,,
-0.12655583024024963,imappo,0.07771025598049164,0.15701444447040558,0.0008671140939597316,22.0,,,,,,,,,,,,0.44093959731543625,,,,,0.10055061429738998,,,,,-0.06715735048055649
,imappo,,,,22.0,0.4,12.0,-2.0147203989326954,-1.0499999821186066,-0.023634831861258476,-0.2287429406787851,-2.051080195233226,0.03635981924162479,-0.996522263623774,0.24781977921520593,0.5067170751591523,,,,,,,,,,,
0.009726203046739101,imappo,0.6862865686416626,1.1579285860061646,0.0008610738255033557,23.0,,,,,,,,,,,,0.438255033557047,,,,,0.10140126943588257,,,,,-0.15771770477294922
,imappo,,,,23.0,0.43333333333333335,13.0,-4.731531172990799,-1.1374999806284904,-0.021325862047319788,-0.2285072168087936,-4.7621549144387245,0.030623718310380355,-3.650126937776804,0.2753051003383007,0.39526947885751723,,,,,,,,,,,
-0.056868359446525574,imappo,0.002269251737743616,0.14075715839862823,0.0008550335570469799,24.0,,,,,,,,,,,,0.4355704697986577,,,,,0.051081135869026184,,,,,-0.016361864283680916
,imappo,,,,24.0,0.0,0.0,-0.4908559573814273,0.0,-0.0009212512900376169,-0.23005820598336868,-0.49365219101309776,0.0027962374078924768,-0.5188756063580513,0.2562028719605678,0.5629597159723441,,,,,,,,,,,
-0.3221627473831177,imappo,0.0665823370218277,1.1348953247070312,0.000848993288590604,25.0,,,,,,,,,,,,0.43288590604026844,,,,,0.15605559945106506,,,,,-0.0761411264538765
,imappo,,,,25.0,0.0,0.0,-2.2842336148023605,0.0,-0.004783249736675543,-0.2341637473728042,-2.3241806253790855,0.03994699215400033,-2.3101479886099696,0.22491437534154102,0.6741784858206908,,,,,,,,,,,
0.14386962354183197,imappo,0.0034896053839474916,-2.7948689460754395,0.0008429530201342282,26.0,,,,,,,,,,,,0.4302013422818792,,,,,0.09344998002052307,,,,,-0.028088625520467758
,imappo,,,,26.0,0.0,0.0,-0.842658668756485,0.0,-0.010142374883571392,-0.18492462825815892,-0.8417190127074718,-0.0009396440727869049,-0.8925352115184069,0.24588319689883065,0.6365150121351083,,,,,,,,,,,
0.09428770840167999,imappo,0.007722850423306227,-2.7803380489349365,0.0008369127516778523,27.0,,,,,,,,,,,,0.4275167785234899,,,,,0.0032626879401504993,,,,,-0.009305748157203197
,imappo,,,,27.0,0.0,0.0,-0.2791724568232894,0.0,-0.004836489799743049,-0.18107982627407182,-0.2830654135905206,0.0038929576257942244,-0.34082136675715446,0.2436722706152068,0.6568693603078525,,,,,,,,,,,
-0.24270375072956085,imappo,0.5900248289108276,-2.7901482582092285,0.0008308724832214766,28.0,,,,,,,,,,,,0.4248322147651007,,,,,0.02532835118472576,,,,,-0.13304272294044495
,imappo,,,,28.0,0.3333333333333333,10.0,-3.9912817254662514,-0.8749999850988388,-0.012369187331557896,-0.19098656075220788,-4.016632616519928,0.025350885931402445,-3.206386400386691,0.2681095205807651,0.5678745324412982,,,,,,,,,,,
-0.4299544095993042,imappo,0.4680166244506836,1.1424076557159424,0.0008248322147651007,29.0,,,,,,,,,,,,0.4221476510067114,,,,,0.17303039133548737,,,,,-0.15388436615467072
,imappo,,,,29.0,0.6333333333333333,19.0,-4.61653058975935,-1.8374999687075615,-0.0002631209853234395,-0.23953772881941404,-4.663973040878773,0.047442495240829885,-2.838541178032756,0.25186892328201793,0.6503407672047615,,,,,,,,,,,
,imappo,,,,29.0,,,,,,,,,,,,,0.2166666666666667,6.5,-3.633128152601421,0.5226128757745028,,,,,,
,imappo,,,,29.0,,,,,,,,,,,,,,,,,,0.79,23.7,-6.524906858429313,0.5636745759348074,
0.22620020806789398,imappo,0.023297080770134926,-2.822143316268921,0.0008187919463087249,30.0,,,,,,,,,,,,0.41946308724832215,,,,,0.006520909257233143,,,,,-0.05259746313095093
,imappo,,,,30.0,0.1,3.0,-1.5779236946254969,-0.26249999552965164,-0.013896675621438703,-0.19589774980704533,-1.5735592506825924,-0.004364447318948805,-1.3412745110690594,0.24000967766710346,0.6963145948946476,,,,,,,,,,,
-0.1820635199546814,imappo,0.009771838784217834,-2.808736801147461,0.000812751677852349,31.0,,,,,,,,,,,,0.4167785234899329,,,,,0.009658711031079292,,,,,-0.05531151592731476
,imappo,,,,31.0,0.0,0.0,-1.6593454517424107,0.0,-0.018989847628347434,-0.19266776512085926,-1.6618365570902824,0.0024910937136155553,-1.7107968889176846,0.2606179572412657,0.5640478017429511,,,,,,,,,,,
-0.38068825006484985,imappo,0.013035363517701626,0.1366661936044693,0.0008067114093959732,32.0,,,,,,,,,,,,0.4140939597315436,,,,,0.1792345643043518,,,,,-0.011249409057199955
,imappo,,,,32.0,0.0,0.0,-0.33748225728049874,0.0,-0.017556306908275587,-0.22748457053967286,-0.3511063742917031,0.013624115556012839,-0.29788194224238396,0.19181644210766535,0.6708227306604385,,,,,,,,,,,
-0.0639106035232544,imappo,0.0008041599649004638,0.14024725556373596,0.0008006711409395973,33.0,,,,,,,,,,,,0.41140939597315435,,,,,0.014103373512625694,,,,,-0.014559187926352024
,imappo,,,,33.0,0.0,0.0,-0.4367756270803511,0.0,-0.01648886661000759,-0.2424000703249476,-0.4549502804875374,0.018174656928749755,-0.4300401173532009,0.2339787757209706,0.6743532598018647,,,,,,,,,,,
-0.40581637620925903,imappo,0.0016767240595072508,0.15606321394443512,0.0007946308724832215,34.0,,,,,,,,,,,,0.4087248322147651,,,,,0.02116698957979679,,,,,-0.03975416719913483
,imappo,,,,34.0,0.0,0.0,-1.192624993622303,0.0,-0.004266557767550694,-0.22805149519263068,-1.2089206222444773,0.016295631736284122,-1.2145612724125385,0.2379587085363255,0.6007317689557871,,,,,,,,,,,
-0.23170390725135803,imappo,0.42102912068367004,-2.84698748588562,0.0007885906040268457,35.0,,,,,,,,,,,,0.40604026845637586,,,,,0.04864270240068436,,,,,-0.14222022891044617
,imappo,,,,35.0,0.6666666666666666,20.0,-4.266606964170933,-1.7499999701976776,-0.0045010474143794,-0.18738499761821004,-4.273121893405914,0.006514943263027817,-2.594525191001594,0.2632892503970652,0.6201139623920123,,,,,,,,,,,
-0.015926828607916832,imappo,0.004781472962349653,0.12443999201059341,0.0007825503355704698,36.0,,,,,,,,,,,,0.40335570469798654,,,,,0.03274187073111534,,,,,-0.041913166642189026
,imappo,,,,36.0,0.0,0.0,-1.2573949452489614,0.0,-0.018438693820371554,-0.25011088688188465,-1.2770945690572262,0.019699631842740928,-1.269572015851736,0.261027020798565,0.5114835095902284,,,,,,,,,,,
-0.1805487871170044,imappo,0.015020353719592094,0.11695631593465805,0.000776510067114094,37.0,,,,,,,,,,,,0.4006711409395973,,,,,0.009653693996369839,,,,,-0.05895720794796944
,imappo,,,,37.0,0.0,0.0,-1.768716149032116,0.0,-0.0046893278811239725,-0.23948177591955755,-1.7740028016269207,0.005286652842187323,-1.744628525339067,0.2147968403700382,0.6813362849255403,,,,,,,,,,,
-0.14807970821857452,imappo,0.0019020457984879613,0.10591782629489899,0.0007704697986577182,38.0,,,,,,,,,,,,0.39798657718120806,,,,,0.17458800971508026,,,,,-0.028221817687153816
,imappo,,,,38.0,0.0,0.0,-0.8466544968541712,0.0,-0.0008558714731634609,-0.23303079103061464,-0.8666562102735043,0.02000170011888258,-0.8403865620493889,0.2076170135674147,0.6693320631980896,,,,,,,,,,,
-0.07570523768663406,imappo,0.011853337287902832,-2.8671069145202637,0.0007644295302013423,39.0,,,,,,,,,,,,0.3953020134228188,,,,,0.09092704951763153,,,,,-0.05374050885438919
,imappo,,,,39.0,0.0,0.0,-1.6122152544558048,0.0,-0.015285445721019641,-0.18080868860852206,-1.607689704746008,-0.0045255773002281785,-1.6719366256147623,0.26034107348823454,0.7089190177619458,,,,,,,,,,,
0.13952070474624634,imappo,0.04311705380678177,1.0972938537597656,0.0007583892617449665,40.0,,,,,,,,,,,,0.3926174496644295,,,,,0.46473461389541626,,,,,-0.07388008385896683
,imappo,,,,40.0,0.13333333333333333,4.0,-2.2164023742079735,-0.3499999940395355,-0.008309968357821162,-0.25082994363765465,-2.2823983542621136,0.06599602126516402,-1.9397158715873957,0.2664574134128088,0.6500747640927632,,,,,,,,,,,
-0.12176335602998734,imappo,0.24408097565174103,0.08826782554388046,0.0007523489932885906,41.0,,,,,,,,,,,,0.38993288590604025,,,,,0.022332727909088135,,,,,-0.11147038638591766
,imappo,,,,41.0,0.03333333333333333,1.0,-3.3441118001937866,-0.08749999850988388,-0.0241644636644196,-0.220515683395206,-3.358280934393406,0.014169076923280954,-3.2456991970539093,0.21959846919526171,0.6988973416388035,,,,,,,,,,,
-0.04080311581492424,imappo,0.1558201014995575,-2.891887664794922,0.0007463087248322149,42.0,,,,,,,,,,,,0.38724832214765104,,,,,0.01941593550145626,,,,,-0.09966041892766953
,imappo,,,,42.0,0.0,0.0,-2.9898130111396313,0.0,0.004529255052020176,-0.1855221825753688,-2.9896318428218365,-0.0001812178670661524,-3.062323655001819,0.25368477747542784,0.6050365736087163,,,,,,,,,,,
-0.1480983942747116,imappo,0.0011659357696771622,0.05403445288538933,0.0007402684563758389,43.0,,,,,,,,,,,,0.3845637583892617,,,,,0.007179689593613148,,,,,-0.03421955928206444
,imappo,,,,43.0,0.0,0.0,-1.0265867803245783,0.0,-0.02593414049056264,-0.21541316268849187,-1.0405281223356724,0.013941350465756841,-1.0082878954708576,0.20910706131235202,0.6395154255131881,,,,,,,,,,,
0.028098568320274353,imappo,0.45975461602211,1.0987228155136108,0.0007342281879194632,44.0,,,,,,,,,,,,0.3818791946308725,,,,,0.11935916543006897,,,,,-0.14844703674316406
,imappo,,,,44.0,0.4,12.0,-4.45341157913208,-1.399999976158142,0.037144603319500646,-0.24184932964271866,-4.451549954712391,-0.0018616887828102335,-3.0945732025429606,0.24772798555022746,0.5239523043235143,,,,,,,,,,,
0.06178666651248932,imappo,0.00931761134415865,-2.909942626953125,0.0007281879194630872,45.0,,,,,,,,,,,,0.37919463087248323,,,,,0.008205650374293327,,,,,-0.0284159816801548
,imappo,,,,45.0,0.0,0.0,-0.8524794094264507,0.0,0.016178351918142653,-0.19292166012746748,-0.8605875261127949,0.008108107816951815,-0.9784726202487946,0.2946284048302914,0.5641007686654727,,,,,,,,,,,
-0.21028520166873932,imappo,0.004051248077303171,-2.890965700149536,0.0007221476510067115,46.0,,,,,,,,,,,,0.37651006711409396,,,,,0.015026262030005455,,,,,-0.04768543317914009
,imappo,,,,46.0,0.0,0.0,-1.4305628649890423,0.0,0.004797111158339362,-0.18567350824014284,-1.434167318046093,0.003604429861297831,-1.497397257015109,0.24410634200830827,0.6140410569806893,,,,,,,,,,,
0.26180610060691833,imappo,0.2763994634151459,0.07178277522325516,0.0007161073825503356,47.0,,,,,,,,,,,,0.3738255033557047,,,,,0.021715587005019188,,,,,-0.10370584577322006
,imappo,,,,47.0,0.13333333333333333,4.0,-3.111175611615181,-0.3499999940395355,-0.02135376782791809,-0.2163528656528797,-3.1158077493309975,0.004632171934645157,-2.701750984415412,0.17364982240519566,0.7482777535915375,,,,,,,,,,,
-0.21211886405944824,imappo,0.03289805352687836,-2.8749051094055176,0.0007100671140939597,48.0,,,,,,,,,,,,0.3711409395973154,,,,,0.593026876449585,,,,,-0.06582588702440262
,imappo,,,,48.0,0.2,6.0,-1.9747766740620136,-0.5249999910593033,-0.008994416223714552,-0.19557199338487408,-1.9411706291139126,-0.03360602499014931,-1.4533999804407358,0.24179573473338678,0.6487665474414825,,,,,,,,,,,
0.09309360384941101,imappo,1.3399966955184937,-2.876718521118164,0.0007040268456375839,49.0,,,,,,,,,,,,0.36845637583892615,,,,,0.01307164691388607,,,,,-0.2064068764448166
,imappo,,,,49.0,0.8333333333333334,25.0,-6.1922067031264305,-2.4499999582767487,-0.00629722270991806,-0.1905194856080925,-6.212639108300209,0.020432312274351716,-3.8405460892245173,0.27472368700182415,0.5790079062183698,,,,,,,,,,,
-0.06338521093130112,imappo,0.0011890666792169213,-2.8845160007476807,0.000697986577181208,50.0,,,,,,,,,,,,0.3657718120805369,,,,,0.010548423044383526,,,,,-0.031226418912410736
,imappo,,,,50.0,0.0,0.0,-0.9367925738915801,0.0,0.0004464895155393833,-0.18001868402279797,-0.930586626753211,-0.006205946992849931,-0.9738753065466881,0.22286088513828872,0.6259653051694234,,,,,,,,,,,
0.0020303374622017145,imappo,1.0673408508300781,-2.8899052143096924,0.0006919463087248323,51.0,,,,,,,,,,,,0.36308724832214767,,,,,0.007408212870359421,,,,,-0.1811225414276123
,imappo,,,,51.0,0.6,18.0,-5.433676563203335,-2.187499962747097,-0.01150433647688942,-0.18153177427848277,-5.43049780279398,-0.0031788439555384684,-3.3125075763091445,0.2625459205082734,0.7153995131452878,,,,,,,,,,,
0.1708933413028717,imappo,0.010541883297264576,-2.933781385421753,0.0006859060402684563,52.0,,,,,,,,,,,,0.36040268456375835,,,,,0.03830752521753311,,,,,-0.02577502839267254
,imappo,,,,52.0,0.0,0.0,-0.7732508359476924,0.0,-0.010596181469509247,-0.19350101434247335,-0.7617693617939949,-0.011481464563985355,-0.7988211456686258,0.24114897289064174,0.703701588511467,,,,,,,,,,,
-0.03670287877321243,imappo,2.6974637508392334,-2.9260964393615723,0.0006798657718120806,53.0,,,,,,,,,,,,0.35771812080536913,,,,,0.01822502166032791,,,,,-0.29469189047813416
,imappo,,,,53.0,1.0,30.0,-8.84075702726841,-4.637499921023846,-0.004365211439534278,-0.18251155822872533,-8.848517686128616,0.007760624459479004,-4.296379909850657,0.2722390671915491,0.5404408715665341,,,,,,,,,,,
0.1357414275407791,imappo,0.0009693393367342651,-2.977691411972046,0.0006738255033557047,54.0,,,,,,,,,,,,0.35503355704697986,,,,,0.014359725639224052,,,,,-0.028147106990218163
,imappo,,,,54.0,0.0,0.0,-0.844413248822093,0.0,-0.01285674030299333,-0.19040888074596296,-0.871350159868598,0.026936911599477753,-0.8812948577105999,0.213210313880154,0.6478841967880726,,,,,,,,,,,
-0.16728928685188293,imappo,0.009385218843817711,0.9112346768379211,0.0006677852348993289,55.0,,,,,,,,,,,,0.3523489932885906,,,,,0.11989514529705048,,,,,-0.02475307509303093
,imappo,,,,55.0,0.0,0.0,-0.7425922551192343,0.0,0.00538317200084748,-0.2408341048285365,-0.7531126970425248,0.010520432464545593,-0.7605027742683887,0.2428410185723351,0.6835668173929056,,,,,,,,,,,
