actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,probe_collision_rate,probe_episode_collisions,probe_episode_return,probe_task_completion,return_mean
0.06058128550648689,mappo,0.03660246729850769,1.2658928632736206,0.001,0.0,,,,,,,,,,,,0.0,,,,,0.05088987201452255,,,,,-0.03990828990936279
,mappo,,,,0.0,0.0,0.0,-1.1972488146275282,0.0,-0.018629455155405594,-0.2352211270481348,-1.1972488146275282,0.0,-1.1852616555988789,0.24186343306246272,0.70515278155605,,,,,,,,,,,
0.11405976861715317,mappo,0.3431995213031769,1.2744152545928955,0.0009939597315436243,1.0,,,,,,,,,,,,0.0,,,,,0.04705505818128586,,,,,-0.09774474054574966
,mappo,,,,1.0,0.36666666666666664,11.0,-2.932342305779457,-0.9624999836087227,0.00912510953560286,-0.2399452495665173,-2.932342305779457,0.0,-1.976221615448594,0.23719941113381537,0.526055820286274,,,,,,,,,,,
-0.20949901640415192,mappo,0.024742333218455315,1.2777687311172485,0.0009879194630872483,2.0,,,,,,,,,,,,0.0,,,,,0.02576242759823799,,,,,-0.04364733397960663
,mappo,,,,2.0,0.03333333333333333,1.0,-1.3094199448823929,-0.08749999850988388,-0.0023626454571683553,-0.2405442088493146,-1.3094199448823929,0.0,-1.256709948182106,0.27769685323437443,0.5568582360943158,,,,,,,,,,,
0.3191678822040558,mappo,0.5884200930595398,1.274717926979065,0.0009818791946308726,3.0,,,,,,,,,,,,0.0,,,,,0.015480251982808113,,,,,-0.10857769846916199
,mappo,,,,3.0,0.43333333333333335,13.0,-3.2573308683931828,-1.1374999806284904,0.0006888206611392889,-0.2430259371176362,-3.2573308683931828,0.0,-2.1188025707378983,0.24130878879782358,0.6017181811233362,,,,,,,,,,,
0.014200921170413494,mappo,0.8454214930534363,1.2788827419281006,0.0009758389261744966,4.0,,,,,,,,,,,,0.0,,,,,0.04615728557109833,,,,,-0.15287546813488007
,mappo,,,,4.0,0.9,27.0,-4.58626414835453,-2.4499999582767487,-0.0006442935117547677,-0.25196078170847613,-4.58626414835453,0.0,-2.172539503313601,0.28888045842177235,0.5751703746616841,,,,,,,,,,,
