actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_reward_threat,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,probe_collision_rate,probe_episode_collisions,probe_episode_return,probe_task_completion,return_mean
-0.020030314102768898,mappo,0.0012091841781511903,1.2605741024017334,0.001,0.0,,,,,,,,,,,,,0.0,,,,,0.07758799195289612,,,,,-0.008936399593949318
,mappo,,,,0.0,0.0,0.0,-0.4468199758557603,0.0,-0.03013500577591799,-0.4113022667079349,-0.4468199758557603,0.0,-0.4590734988451004,0.45369080006832974,0.0,0.641480067819357,,,,,,,,,,,
-0.013615541160106659,mappo,0.5003470182418823,1.273493766784668,0.000996989966555184,1.0,,,,,,,,,,,,,0.0,,,,,0.039252206683158875,,,,,-0.09308642148971558
,mappo,,,,1.0,0.36,18.0,-4.654321402311325,-1.5749999731779099,-0.033471148014427854,-0.41205249083577655,-4.654321402311325,0.0,-3.0087756775319576,0.3749778512201374,0.0,0.6491123120486736,,,,,,,,,,,
-0.017822643741965294,mappo,1.1054600477218628,1.2808870077133179,0.000993979933110368,2.0,,,,,,,,,,,,,0.0,,,,,0.02065284550189972,,,,,-0.14185649156570435
,mappo,,,,2.0,0.52,26.0,-7.0928250923752785,-2.274999961256981,-0.0178416527790084,-0.40867902094032615,-7.0928250923752785,0.0,-4.701674552634358,0.3103700497772479,0.0,0.7968474461138249,,,,,,,,,,,
-0.014135157689452171,mappo,0.7630664706230164,1.2805219888687134,0.0009909698996655519,3.0,,,,,,,,,,,,,0.0,,,,,0.03262924402952194,,,,,-0.11402265727519989
,mappo,,,,3.0,0.84,42.0,-5.701132509857416,-3.674999937415123,-0.01575578342826134,-0.4051362950594921,-5.701132509857416,0.0,-2.026058617979288,0.4208181277661538,0.0,0.7450508549809456,,,,,,,,,,,
-0.017486244440078735,mappo,0.19314201176166534,1.2660456895828247,0.0009879598662207358,4.0,,,,,,,,,,,,,0.0,,,,,0.012391849420964718,,,,,-0.06120741739869118
,mappo,,,,4.0,0.2,10.0,-3.060370834544301,-0.8749999850988388,0.015050660676820371,-0.4208538907478214,-3.060370834544301,0.0,-2.1300262063741684,0.3504586152369029,0.0,0.7177918428182601,,,,,,,,,,,
-0.011014177463948727,mappo,2.27020525932312,1.2584515810012817,0.0009849498327759198,5.0,,,,,,,,,,,,,0.0,,,,,0.015846148133277893,,,,,-0.18880805373191833
,mappo,,,,5.0,0.84,42.0,-9.440403282642365,-4.243749927729368,-0.023500817397398066,-0.4122091511489998,-9.440403282642365,0.0,-5.127753344364464,0.3668099794058435,0.0,0.7538971385359764,,,,,,,,,,,
-0.014226773753762245,mappo,1.4069836139678955,1.2520297765731812,0.0009819397993311037,6.0,,,,,,,,,,,,,0.0,,,,,0.019340230152010918,,,,,-0.14693661034107208
,mappo,,,,6.0,0.72,36.0,-7.3468300960958,-3.4999999403953552,0.002023617695243729,-0.4153136442328105,-7.3468300960958,0.0,-3.858823735266924,0.4252834968519892,0.0,0.6589225521683693,,,,,,,,,,,
-0.017505060881376266,mappo,0.11534503847360611,1.2459553480148315,0.0009789297658862877,7.0,,,,,,,,,,,,,0.0,,,,,0.017258096486330032,,,,,-0.008582581765949726
