actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_reward_threat,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,probe_collision_rate,probe_episode_collisions,probe_episode_return,probe_task_completion,return_mean
-0.016661200672388077,imappo,1.3045543432235718,1.2659437656402588,0.001,0.0,,,,,,,,,,,,,0.5,,,,,0.2539677023887634,,,,,-0.1412048190832138
,imappo,,,,0.0,0.92,46.0,-7.0602413564920425,-4.0249999314546585,-0.008567271284036337,-0.3961721361702075,-7.121287941932678,0.061046719551086426,-3.1179673429578543,0.42641861715419793,0.0,0.6143008536100387,,,,,,,,,,,
-0.008806850761175156,imappo,0.3573389947414398,-2.744253635406494,0.000996989966555184,1.0,,,,,,,,,,,,,0.49866220735785954,,,,,0.24454548954963684,,,,,-0.08219566196203232
,imappo,,,,1.0,0.08,4.0,-4.109783079475164,-0.3499999940395355,-0.000954954211820791,-0.3104488531171228,-4.146827541291714,0.03704445867333561,-3.8639628253877163,0.378539047556842,0.0,0.7113042409718037,,,,,,,,,,,
-0.011934975162148476,imappo,0.8232511878013611,1.2709640264511108,0.000993979933110368,2.0,,,,,,,,,,,,,0.4973244147157191,,,,,0.22577416896820068,,,,,-0.11615268886089325
,imappo,,,,2.0,0.46,23.0,-5.807634323835373,-2.0124999657273293,-0.009253198591210321,-0.4095408678113017,-5.829900238662958,0.022265837840677705,-3.796503593213856,0.3978974706215581,0.0,0.6159824305772781,,,,,,,,,,,
-0.004591507837176323,imappo,0.029004979878664017,-2.7460086345672607,0.0009909698996655519,3.0,,,,,,,,,,,,,0.4959866220735786,,,,,0.14789316058158875,,,,,-0.025457434356212616
,imappo,,,,3.0,0.0,0.0,-1.272871607914567,0.0,-0.008779099413118274,-0.31813186396720994,-1.3064485592767596,0.033576974376046564,-1.427318163216114,0.4477805622773303,0.0,0.6747669558227062,,,,,,,,,,,
-0.015947384759783745,imappo,1.360777735710144,1.2745546102523804,0.0009879598662207358,4.0,,,,,,,,,,,,,0.4946488294314381,,,,,0.19328883290290833,,,,,-0.14752714335918427
,imappo,,,,4.0,0.6,30.0,-7.3763571716845036,-3.062499947845936,8.530678417173476e-05,-0.40375681589648593,-7.402519162744284,0.02616191503329901,-4.358547454699874,0.4221997876380783,0.0,0.6702455492317676,,,,,,,,,,,
-0.006787552498281002,imappo,2.2419283390045166,-2.7383222579956055,0.0009849498327759198,5.0,,,,,,,,,,,,,0.49331103678929766,,,,,0.15348516404628754,,,,,-0.1981530338525772
,imappo,,,,5.0,1.0,50.0,-9.90765130519867,-4.374999925494194,-0.018776894486265405,-0.3207821654941654,-9.929566219449043,0.021914840443059802,-5.59447786770761,0.3794707652668876,0.0,0.6835864771902561,,,,,,,,,,,
-0.012644302099943161,imappo,0.2246459573507309,1.2914549112319946,0.0009819397993311037,6.0,,,,,,,,,,,,,0.4919732441471572,,,,,0.16468271613121033,,,,,-0.009927976876497269
,imappo,,,,6.0,0.0,0.0,-0.4963988972012885,0.0,-0.021259298267814586,-0.39668436765350634,-0.5349544230848551,0.038555526720301714,-0.442294642329216,0.3252838829898792,0.0,0.7623415204882622,,,,,,,,,,,
-0.006124870851635933,imappo,0.30116721987724304,-2.733008623123169,0.0009789297658862877,7.0,,,,,,,,,,,,,0.49063545150501675,,,,,0.09615731239318848,,,,,-0.06419441103935242
,imappo,,,,7.0,0.0,0.0,-3.2097207717597485,0.0,-0.022039054236600464,-0.3157847565380507,-3.2244315948337317,0.014710869530972559,-1.5853409226983786,0.4063815673808904,-5.25,0.6713412223756313,,,,,,,,,,,
-0.017015235498547554,imappo,0.18282276391983032,1.3026126623153687,0.0009759197324414716,8.0,,,,,,,,,,,,,0.48929765886287624,,,,,0.15092915296554565,,,,,-0.011426366865634918
,imappo,,,,8.0,0.0,0.0,-0.5713182942417916,0.0,-0.06454659017890663,-0.42092803164268844,-0.5933725586510263,0.02205426839645952,-0.5367749966681004,0.42887706665396763,0.0,0.6772355055809021,,,,,,,,,,,
-0.004966573789715767,imappo,0.3641081750392914,-2.7189862728118896,0.0009729096989966556,9.0,,,,,,,,,,,,,0.4879598662207358,,,,,0.04569565877318382,,,,,-0.07600860297679901
,imappo,,,,9.0,0.44,22.0,-3.800429859664291,-1.9249999672174454,-0.04017392434889189,-0.3228179799771169,-3.8003973215818405,-3.250094778195489e-05,-1.9053040742874146,0.39289856622235675,0.0,0.667638942450285,,,,,,,,,,,
-0.014322614297270775,imappo,0.06566987186670303,1.294625997543335,0.0009698996655518395,10.0,,,,,,,,,,,,,0.4866220735785953,,,,,0.08885915577411652,,,,,-0.04004112258553505
,imappo,,,,10.0,0.0,0.0,-2.0020560938864946,0.0,-0.0158864741346747,-0.41456479679618496,-2.0134386997669935,0.011382618205971085,-2.031734313815832,0.44874688000527385,0.0,0.6402751709520816,,,,,,,,,,,
-0.0032088300213217735,imappo,0.5370790362358093,-2.7170238494873047,0.0009668896321070235,11.0,,,,,,,,,,,,,0.48528428093645487,,,,,0.13265293836593628,,,,,-0.12432670593261719
,imappo,,,,11.0,0.22,11.0,-6.216335698962212,-0.9624999836087227,-0.046123318435796534,-0.3248274993547966,-6.2343737706542015,0.018038019945379347,-5.285892554558814,0.3849696079705609,0.0,0.6498441851139068,,,,,,,,,,,
-0.01684015616774559,imappo,0.24173036217689514,1.2840558290481567,0.0009638795986622074,12.0,,,,,,,,,,,,,0.48394648829431436,,,,,0.1291096806526184,,,,,-0.08318082988262177
,imappo,,,,12.0,0.5,25.0,-4.15904135722667,-2.187499962747097,-0.03962467075393761,-0.42767348792403936,-4.195133442059159,0.0360920671664644,-1.984928003512323,0.4445926674052316,0.0,0.6691279795765877,,,,,,,,,,,
-0.004911572206765413,imappo,6.913907051086426,-2.7285916805267334,0.0009608695652173914,13.0,,,,,,,,,,,,,0.4826086956521739,,,,,0.08589684963226318,,,,,-0.3485621511936188
,imappo,,,,13.0,0.54,27.0,-17.428107649087906,-2.3624999597668648,-0.04066744404701694,-0.3298566377197858,-17.456485480070114,0.028377746704791207,-2.858345818705857,0.3717029988365539,-37.5,0.7236267173290253,,,,,,,,,,,
-0.01031440682709217,imappo,0.757148802280426,1.25917387008667,0.0009578595317725752,14.0,,,,,,,,,,,,,0.48127090301003345,,,,,0.10602462291717529,,,,,-0.05827765166759491
,imappo,,,,14.0,0.3,15.0,-2.9138825642876327,-1.3124999776482582,-0.06783479414235671,-0.4146563761169091,-2.940757263917476,0.026874647548538633,-1.5458254348486662,0.40005934068159377,0.0,0.7125356447696686,,,,,,,,,,,
-0.008761020377278328,imappo,0.3388700485229492,-2.7397232055664062,0.0009548494983277592,15.0,,,,,,,,,,,,,0.479933110367893,,,,,0.1360768973827362,,,,,-0.07178456336259842
,imappo,,,,15.0,0.0,0.0,-3.5892280004918575,0.0,-0.026237620211922774,-0.3306611942298332,-3.6069571897387505,0.017729208717355505,-3.5831765411421657,0.33311814370063075,0.0,0.7323930402100086,,,,,,,,,,,
-0.013074382208287716,imappo,0.29829680919647217,1.2457138299942017,0.0009518394648829431,16.0,,,,,,,,,,,,,0.4785953177257525,,,,,0.05704931169748306,,,,,-0.09873717278242111
,imappo,,,,16.0,0.36,18.0,-4.936858791857958,-1.5749999731779099,-0.05626916220126077,-0.4138507058742107,-4.958046093583107,0.02118735889234813,-3.3586648581549525,0.44573859582214936,0.0,0.6450987899303436,,,,,,,,,,,
-0.0028181523084640503,imappo,2.1970584392547607,-2.74810791015625,0.0009488294314381271,17.0,,,,,,,,,,,,,0.477257525083612,,,,,0.10658039152622223,,,,,-0.21207372844219208
,imappo,,,,17.0,0.7,35.0,-10.60368624329567,-4.374999925494194,-0.03332050655205876,-0.31653347383326036,-10.62528895586729,0.021602734035695903,-6.329658776521683,0.42922370678934385,0.0,0.6606561569869518,,,,,,,,,,,
-0.010228687897324562,imappo,4.071138858795166,1.2436306476593018,0.000945819397993311,18.0,,,,,,,,,,,,,0.47591973244147157,,,,,0.14558185636997223,,,,,-0.26560094952583313
,imappo,,,,18.0,0.8,40.0,-13.280047200620174,-8.487499855458736,-0.02968495653490777,-0.41549415858025895,-13.281403824687004,0.0013566488632932305,-4.74818360991776,0.39945875731518754,0.0,0.7420406836271286,,,,,,,,,,,
-0.005231257528066635,imappo,0.2962517738342285,-2.755247116088867,0.000942809364548495,19.0,,,,,,,,,,,,,0.4745819397993311,,,,,0.09213528037071228,,,,,-0.06438618898391724
,imappo,,,,19.0,0.0,0.0,-3.2193092182278633,0.0,-0.010940555638143223,-0.316671191725618,-3.229990543797612,0.010681342158932239,-1.5987718980759382,0.44442328482909943,-5.25,0.6835200789570809,,,,,,,,,,,
-0.012361620552837849,imappo,0.17204353213310242,1.2246742248535156,0.0009397993311036789,20.0,,,,,,,,,,,,,0.47324414715719065,,,,,0.13935256004333496,,,,,-0.05285372585058212
,imappo,,,,20.0,0.26,13.0,-2.6426862915977836,-1.1374999806284904,-0.046194932939386035,-0.40329195549566066,-2.6347189862281084,-0.007967283192556351,-1.4598947670310736,0.4121626579133135,0.0,0.6870177294313907,,,,,,,,,,,
-0.00595996156334877,imappo,2.4765031337738037,-2.7683193683624268,0.0009367892976588629,21.0,,,,,,,,,,,,,0.47190635451505014,,,,,0.15201419591903687,,,,,-0.2525220811367035
,imappo,,,,21.0,0.9,45.0,-12.626102305948734,-5.249999910593033,-0.03285919678435789,-0.3323097807224258,-12.637251190841198,0.011148752964800224,-5.494758582673967,0.40263849016309905,-6.0,0.6584490820765495,,,,,,,,,,,
-0.014897824265062809,imappo,0.6724532842636108,1.174316167831421,0.0009337792642140468,22.0,,,,,,,,,,,,,0.4705685618729097,,,,,0.2395123988389969,,,,,-0.014578426256775856
,imappo,,,,22.0,0.0,0.0,-0.7289213070180267,0.0,-0.04738697297239014,-0.42271014978177845,-0.787713616155088,0.05879230321443174,-0.6812180019915104,0.36360149384927354,0.0,0.7430818586051464,,,,,,,,,,,
