actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_reward_threat,episode_reward_time,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,probe_collision_rate,probe_episode_collisions,probe_episode_return,probe_task_completion,return_mean
-0.01988597773015499,imappo,30.731122970581055,1.2484161853790283,0.001,0.0,,,,,,,,,,,,,,0.5,,,,,0.13567078113555908,,,,,-0.634171724319458
,imappo,,,,0.0,0.88,44.0,-31.708587765693665,-3.8499999344348907,-0.03897193521584086,-0.41799345979598,-31.733066201210022,0.024478796869516373,-2.6270106844604015,0.3871699486262514,0.0,-25.186260264366865,0.6790660640597344,,,,,,,,,,,
-0.011277614161372185,imappo,34.367027282714844,-2.7487716674804688,0.0009996998999666556,1.0,,,,,,,,,,,,,,0.49986662220740247,,,,,0.1957215964794159,,,,,-0.6852853298187256
,imappo,,,,1.0,0.88,44.0,-34.26426440477371,-3.8499999344348907,-0.0011279293682093794,-0.3278599586119526,-34.290686905384064,0.026422087103128433,-2.879867445677519,0.45192760519194053,0.0,-27.68375876918435,0.5756855560839176,,,,,,,,,,,
-0.01327698677778244,imappo,25.367586135864258,1.2282367944717407,0.0009993997999333112,2.0,,,,,,,,,,,,,,0.49973324441480493,,,,,0.16425472497940063,,,,,-0.5835084915161133
,imappo,,,,2.0,0.92,46.0,-29.175423860549927,-4.0249999314546585,-0.018177423985889618,-0.4147029431478586,-29.194170892238617,0.018747199326753616,-2.6155897229909897,0.42626407834313795,0.0,-22.546964776702225,0.6051262573897839,,,,,,,,,,,
-0.004315704107284546,imappo,20.308979034423828,-2.763486385345459,0.0009990996998999666,3.0,,,,,,,,,,,,,,0.4995998666222074,,,,,0.1294586956501007,,,,,-0.5431870818138123
,imappo,,,,3.0,0.0,0.0,-27.159354865550995,0.0,0.014089803715023663,-0.3266244536607701,-27.192290544509888,0.03293551877140999,-0.8949331156909466,0.4430281514469243,0.0,-26.42785070836544,0.5565948669612407,,,,,,,,,,,
-0.011958503164350986,imappo,23.938493728637695,1.208784818649292,0.0009987995998666222,4.0,,,,,,,,,,,,,,0.49946648882960987,,,,,0.17026114463806152,,,,,-0.5960835814476013
,imappo,,,,4.0,0.0,0.0,-29.80417889356613,0.0,-0.013486635775848299,-0.4145451034855796,-29.830209732055664,0.02603086084127426,-0.3497670702636242,0.3468645983180636,0.0,-29.39927561953664,0.783351398408413,,,,,,,,,,,
-0.0053973933681845665,imappo,46.01250076293945,-2.7689805030822754,0.0009984994998332778,5.0,,,,,,,,,,,,,,0.49933311103701233,,,,,0.18854355812072754,,,,,-0.8001588582992554
,imappo,,,,5.0,0.98,49.0,-40.00794333219528,-4.28749992698431,-0.0079825978335748,-0.32552081804169575,-40.02897983789444,0.021035946905612946,-12.193604471161962,0.39959252893095254,0.0,-23.613964162766933,0.6017722272872925,,,,,,,,,,,
