actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_reward_threat,episode_reward_time,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,probe_collision_rate,probe_episode_collisions,probe_episode_return,probe_task_completion,return_mean
-0.017785899341106415,mappo,30.799427032470703,1.2567918300628662,0.001,0.0,,,,,,,,,,,,,,0.0,,,,,0.030975986272096634,,,,,-0.6341227889060974
,mappo,,,,0.0,0.38,19.0,-31.706141889095306,-1.6624999716877937,-0.0293010226459387,-0.41464077804994304,-31.706141889095306,0.0,-2.3680451903492212,0.40707894917250087,0.0,-27.638733956962824,0.7112823334336281,,,,,,,,,,,
-0.014746484346687794,mappo,26.996007919311523,1.2687510251998901,0.0009996998999666556,1.0,,,,,,,,,,,,,,0.0,,,,,0.012311186641454697,,,,,-0.6098811030387878
,mappo,,,,1.0,0.0,0.0,-30.494055688381195,0.0,-0.005221361699796034,-0.415077059824398,-30.494055688381195,0.0,-2.1090872678905725,0.3760177885178564,0.0,-28.34068787097931,0.656948606222868,,,,,,,,,,,
-0.01567414030432701,mappo,16.421483993530273,1.2770357131958008,0.0009993997999333112,2.0,,,,,,,,,,,,,,0.0,,,,,0.017280977219343185,,,,,-0.4747387170791626
,mappo,,,,2.0,0.52,26.0,-23.736936032772064,-2.274999961256981,0.006904619074475704,-0.4098382667871192,-23.736936032772064,0.0,-2.489198448136449,0.3524003739212276,0.0,-18.922204251401126,0.7577471119165421,,,,,,,,,,,
-0.013637188822031021,mappo,34.20860290527344,1.2688041925430298,0.0009990996998999666,3.0,,,,,,,,,,,,,,0.0,,,,,0.03441864624619484,,,,,-0.6679897904396057
,mappo,,,,3.0,0.64,32.0,-33.39948856830597,-3.4562499411404133,-0.032284876037920185,-0.3984764011838706,-33.39948856830597,0.0,-6.61070354282856,0.47576977968856227,0.0,-23.37754337862134,0.5225772197544575,,,,,,,,,,,
-0.01757921651005745,mappo,31.293039321899414,1.2624608278274536,0.0009987995998666222,4.0,,,,,,,,,,,,,,0.0,,,,,0.013269279152154922,,,,,-0.6716726422309875
,mappo,,,,4.0,1.0,50.0,-33.58363449573517,-4.462499924004078,0.022114442197661788,-0.40985683469625656,-33.58363449573517,0.0,-4.519108692184091,0.36662750000505184,0.0,-24.580910979770124,0.7280561707913875,,,,,,,,,,,
-0.009295348078012466,mappo,27.3537654876709,1.2534070014953613,0.0009984994998332778,5.0,,,,,,,,,,,,,,0.0,,,,,0.011097090318799019,,,,,-0.640946626663208
